,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261
0,3,10,19,23,33,42,52,59,67,74,82,89,97,106,115,123,129,136,138,146,152,158,164,168,170,170
