,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
movetomouse,All,21.0,356.0,36.0,27.0,0.86,0.37,0.44,0.4,0.67
movetomouse,AndAll,22.0,351.0,41.0,26.0,0.85,0.35,0.46,0.4,0.68
