,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
jump,All,64.0,335.0,27.0,14.0,0.91,0.7,0.82,0.76,0.87
jump,AndAll,,,,,,,,,
movetomouse,All,,,,,,,,,
movetomouse,AndAll,,,,,,,,,
costopall,All,,,,,,,,,
costopall,AndAll,,,,,,,,,
