name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.14: [reportListLength, {var:userDef}, *]",57,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.45: [reportEquals, {var:userDef}, *]",58,0.4523809523809524,0.4923547400611621,-1.0,-1.0,-1.0
"0.12: [reportModulus, {var:userDef}, *]",59,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.19: [reportDifference, {var:userDef}, *]",60,0.19047619047619047,0.1651376146788991,-1.0,-1.0,-1.0
"0.21: [reportQuotient, {var:userDef}, *]",61,0.21428571428571427,0.1559633027522936,-1.0,-1.0,-1.0
"0.14: [reportStringSize, {var:userDef}, *]",62,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.45: [reportLessThan, {var:userDef}, *]",63,0.4523809523809524,0.4648318042813456,-1.0,-1.0,-1.0
"0.17: [reportLetter, {var:userDef}, *]",64,0.16666666666666666,0.10091743119266056,-1.0,-1.0,-1.0
"0.29: [reportProduct, {var:userDef}, *]",65,0.2857142857142857,0.308868501529052,-1.0,-1.0,-1.0
"0.14: [reportDifference, {xPosition}, *]",66,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.17: [reportLessThan, {yPosition}, *]",67,0.16666666666666666,0.22935779816513763,-1.0,-1.0,-1.0
"0.19: [sprite:userDef, script, {clearEffects}, *]",68,0.19047619047619047,0.1834862385321101,-1.0,-1.0,-1.0
"0.12: [sprite:userDef, script, {doResetTimer}, *]",69,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.12: [doForever, script, {doWearNextCostume}, *]",70,0.11904761904761904,0.14067278287461774,-1.0,-1.0,-1.0
"0.33: [sprite:userDef, script, {evaluateCustomBlock:userDef}, *]",71,0.3333333333333333,0.40978593272171254,-1.0,-1.0,-1.0
"0.12: [doRepeat, script, {evaluateCustomBlock:userDef}, *]",72,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.17: [doIf, script, {evaluateCustomBlock:userDef}, *]",73,0.16666666666666666,0.10397553516819572,-1.0,-1.0,-1.0
"0.12: [doWarp, script, {evaluateCustomBlock:userDef}, *]",74,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.12: [doIfElse, script, {evaluateCustomBlock:userDef}, *]",75,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.14: [doForever, script, {evaluateCustomBlock:userDef}, *]",76,0.14285714285714285,0.11009174311926606,-1.0,-1.0,-1.0
"0.64: [sprite:userDef, script, {hide}, *]",77,0.6428571428571429,0.7675840978593272,-1.0,-1.0,-1.0
"0.29: [doIf, script, {hide}, *]",78,0.2857142857142857,0.37920489296636084,-1.0,-1.0,-1.0
"0.24: [doIfElse, script, {hide}, *]",79,0.23809523809523808,0.1834862385321101,-1.0,-1.0,-1.0
"0.29: [script, doTellTo, {list}, *]",80,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.29: [doTellTo, reifyScript, {list}, *]",81,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.29: [script, doTellTo, {literal:Stage}, *]",82,0.2857142857142857,0.42201834862385323,-1.0,-1.0,-1.0
"0.14: [reportLessThan, reportMonadic, {literal:abs}, *]",83,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.33: [script, doStopThis, {literal:all}, *]",84,0.3333333333333333,0.2782874617737003,-1.0,-1.0,-1.0
"0.17: [script, doDeleteFromList, {literal:all}, *]",85,0.16666666666666666,0.11009174311926606,-1.0,-1.0,-1.0
"0.38: [script, goToLayer, {literal:front}, *]",86,0.38095238095238093,0.45565749235474007,-1.0,-1.0,-1.0
"0.33: [script, setEffect, {literal:ghost}, *]",87,0.3333333333333333,0.3394495412844037,-1.0,-1.0,-1.0
"0.33: [script, changeEffect, {literal:ghost}, *]",88,0.3333333333333333,0.30275229357798167,-1.0,-1.0,-1.0
"0.24: [doIfElse, reportTouchingObject, {literal:mouse-pointer}, *]",89,0.23809523809523808,0.12538226299694188,-1.0,-1.0,-1.0
"0.45: [script, doGotoObject, {literal:mouse-pointer}, *]",90,0.4523809523809524,0,-1.0,-1.0,-1.0
"0.12: [reportNot, reportTouchingObject, {literal:mouse-pointer}, *]",91,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.52: [script, createClone, {literal:myself}, *]",92,0.5238095238095238,0.363914373088685,-1.0,-1.0,-1.0
"0.12: [script, doStopThis, {literal:other scripts in sprite}, *]",93,0.11904761904761904,0.2599388379204893,-1.0,-1.0,-1.0
"0.33: [script, receiveInteraction, {literal:pressed}, *]",94,0.3333333333333333,0.3761467889908257,-1.0,-1.0,-1.0
"0.17: [script, doGotoObject, {literal:random position}, *]",95,0.16666666666666666,0.11314984709480122,-1.0,-1.0,-1.0
"0.17: [reportProduct, reportMonadic, {literal:sin}, *]",96,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.21: [script, receiveKey, {literal:space}, *]",97,0.21428571428571427,0.21100917431192662,-1.0,-1.0,-1.0
"0.12: [script, doStopThis, {literal:this script}, *]",98,0.11904761904761904,0.2415902140672783,-1.0,-1.0,-1.0
"0.14: [script, setYPosition, {literal:userDef}, *]",99,0.14285714285714285,0.14067278287461774,-1.0,-1.0,-1.0
"0.19: [doWaitUntil, reportLessThan, {literal:userDef}, *]",100,0.19047619047619047,0,-1.0,-1.0,-1.0
"0.17: [doWaitUntil, reportEquals, {literal:userDef}, *]",101,0.16666666666666666,0.1559633027522936,-1.0,-1.0,-1.0
"0.12: [reportSum, reportDifference, {literal:userDef}, *]",102,0.11904761904761904,0,-1.0,-1.0,-1.0
"0.14: [script, doAddToList, {literal:userDef}, *]",103,0.14285714285714285,0.10091743119266056,-1.0,-1.0,-1.0
"0.45: [script, setScale, {literal:userDef}, *]",104,0.4523809523809524,0.5045871559633027,-1.0,-1.0,-1.0
"0.17: [script, turnLeft, {literal:userDef}, *]",105,0.16666666666666666,0.1437308868501529,-1.0,-1.0,-1.0
"0.43: [script, doPlaySoundUntilDone, {literal:userDef}, *]",106,0.42857142857142855,0.5902140672782875,-1.0,-1.0,-1.0
"0.12: [script, setXPosition, {literal:userDef}, *]",107,0.11904761904761904,0.1529051987767584,-1.0,-1.0,-1.0
"0.21: [gotoXY, reportRandom, {literal:userDef}, *]",108,0.21428571428571427,0.21712538226299694,-1.0,-1.0,-1.0
"0.38: [doIf, reportEquals, {literal:userDef}, *]",109,0.38095238095238093,0.4740061162079511,-1.0,-1.0,-1.0
"0.12: [doSwitchToCostume, reportRandom, {literal:userDef}, *]",110,0.11904761904761904,0.11009174311926606,-1.0,-1.0,-1.0
"0.14: [doChangeVar, reportQuotient, {literal:userDef}, *]",111,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.21: [script, doBroadcastAndWait, {literal:userDef}, *]",112,0.21428571428571427,0.18042813455657492,-1.0,-1.0,-1.0
"0.19: [reportAnd, reportEquals, {literal:userDef}, *]",113,0.19047619047619047,0.22018348623853212,-1.0,-1.0,-1.0
"0.14: [gotoXY, reportSum, {literal:userDef}, *]",114,0.14285714285714285,0,-1.0,-1.0,-1.0
"0.52: [script, playSound, {literal:userDef}, *]",115,0.5238095238095238,0.4831804281345566,-1.0,-1.0,-1.0
