,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,jump,jump,jump,jump,jump,jump,jump,jump,jump,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10
f1,0.7432432432432433,0.7285223367697595,0.7247386759581882,0.7132867132867133,0.704225352112676,0.7177700348432056,0.7152777777777779,0.710801393728223,0.7132867132867133,0.8578553615960098,0.8621553884711779,0.8383838383838383,0.836272040302267,0.8391959798994976,0.8391959798994976,0.8383838383838383,0.8413098236775818,0.8421052631578947,0.689655172413793,0.7019867549668874,0.7152317880794701,0.7236842105263157,0.7189542483660132,0.717948717948718,0.7051282051282051,0.7096774193548386,0.6973684210526315,0.5675675675675675,0.5866666666666667,0.5789473684210527,0.5714285714285714,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.5822784810126582,0.6,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
recall,0.7534246575342466,0.726027397260274,0.7123287671232876,0.6986301369863014,0.684931506849315,0.7054794520547946,0.7054794520547946,0.6986301369863014,0.6986301369863014,0.8730964467005076,0.8730964467005076,0.8426395939086294,0.8426395939086294,0.8477157360406091,0.8477157360406091,0.8426395939086294,0.8477157360406091,0.8527918781725888,0.6172839506172839,0.654320987654321,0.6666666666666666,0.6790123456790124,0.6790123456790124,0.691358024691358,0.6790123456790124,0.6790123456790124,0.654320987654321,0.42857142857142855,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.46938775510204084,0.4897959183673469,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
precision,0.7333333333333333,0.7310344827586207,0.7375886524822695,0.7285714285714285,0.7246376811594203,0.7304964539007093,0.7253521126760564,0.723404255319149,0.7285714285714285,0.8431372549019608,0.8514851485148515,0.8341708542713567,0.83,0.8308457711442786,0.8308457711442786,0.8341708542713567,0.835,0.8316831683168316,0.78125,0.7571428571428571,0.7714285714285715,0.7746478873239436,0.7638888888888888,0.7466666666666667,0.7333333333333333,0.7432432432432432,0.7464788732394366,0.84,0.8461538461538461,0.8148148148148148,0.7857142857142857,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.7666666666666667,0.7741935483870968,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
avg_feature_count,857.0,1468.0,2004.0,2518.0,2989.0,3292.0,3494.0,3642.0,3724.0,857.0,1468.0,2004.0,2518.0,2989.0,3292.0,3494.0,3642.0,3724.0,857.0,1468.0,2004.0,2518.0,2989.0,3292.0,3494.0,3642.0,3724.0,857.0,1468.0,2004.0,2518.0,2989.0,3292.0,3494.0,3642.0,3724.0,857.0,1468.0,2004.0,2518.0,2989.0,3292.0,3494.0,3642.0,3724.0
