,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
best_grid_set,"(0.4, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.4, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1075b0310>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.4, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)"
val_f1,0.84375,0.7666666666666667,0.7500000000000001,0.6545454545454545,0.8253968253968255,0.8470588235294119,0.891566265060241,0.8333333333333333,0.8787878787878788,0.8941176470588235,0.5925925925925926,0.7567567567567568,0.7142857142857143,0.7096774193548387,0.7199999999999999,0.42105263157894735,0.5333333333333333,0.6,0.7368421052631579,0.7272727272727272,0.4,0,0.7272727272727272,0.8,0.5454545454545454
