,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371
9,1,1,1,3,4,6,6,10,13,17,21,21,21,21,21,21,22,23,23,26,27,28,28,29,30,31,33,37,38,39,40,42,42,42,44,46,46
