,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,0.2,0.6274509803921569,0.4782608695652174,0.46511627906976744,0.5116279069767442,0.5555555555555555,0.8157894736842105,0.8461538461538461,0.8395061728395062,0.84375,0.8051948051948051,0.6666666666666667,0.7058823529411765,0.6206896551724139,0.6250000000000001,0.6363636363636365,0.5333333333333333,0.22222222222222224,0.42857142857142855,0.5599999999999999,0.4210526315789474,0.28571428571428575,0,0.0,0.8,0.0
0.1,0.3,0.6122448979591837,0.45454545454545453,0.4878048780487805,0.4210526315789474,0.49056603773584906,0.7948717948717948,0.8311688311688312,0.8421052631578947,0.84375,0.8205128205128206,0.5833333333333334,0.7222222222222222,0.6206896551724139,0.6666666666666667,0.5217391304347826,0.30769230769230765,0.22222222222222224,0.5,0.48000000000000004,0.47619047619047616,0.33333333333333337,0,0.33333333333333337,0.8,0.0
0.1,0.4,0.6399999999999999,0.5581395348837209,0.35,0.4545454545454545,0.4897959183673469,0.7692307692307694,0.8157894736842105,0.8266666666666667,0.8307692307692307,0.8,0.5217391304347827,0.7567567567567567,0.6153846153846153,0.6451612903225806,0.45454545454545453,0.26666666666666666,0.23529411764705882,0.2,0.4666666666666666,0.5,0.33333333333333337,0,0.33333333333333337,0.5,0.0
0.1,0.5,0.5882352941176471,0.5,0.380952380952381,0.4545454545454545,0.5098039215686274,0.7532467532467532,0.8157894736842105,0.8354430379746836,0.8571428571428572,0.8051948051948051,0.5454545454545455,0.6857142857142857,0.5,0.7272727272727272,0.3333333333333333,0.26666666666666666,0.14285714285714288,0.5454545454545454,0.5517241379310345,0.45454545454545453,0.28571428571428575,0,0.0,0.8,0.0
0.1,0.6,0.5882352941176471,0.5217391304347826,0.42857142857142855,0.380952380952381,0.5490196078431373,0.7435897435897435,0.8157894736842105,0.8148148148148148,0.84375,0.825,0.4545454545454545,0.588235294117647,0.4615384615384615,0.7647058823529411,0.5217391304347826,0.5,0.15384615384615383,0.4615384615384615,0.6428571428571429,0.5454545454545454,0.25,0,0.28571428571428575,0.6666666666666666,0.15384615384615383
0.2,0.2,0.6153846153846154,0.5531914893617023,0.4878048780487805,0.4888888888888889,0.5555555555555555,0.7948717948717948,0.8461538461538461,0.8641975308641975,0.8571428571428572,0.7792207792207791,0.5833333333333334,0.7058823529411765,0.6428571428571429,0.6250000000000001,0.5714285714285715,0.4285714285714285,0.22222222222222224,0.4,0.5833333333333334,0.33333333333333326,0.33333333333333337,0,0.20000000000000004,0.6666666666666666,0.0
0.2,0.3,0.5306122448979592,0.46808510638297873,0.46511627906976744,0.45,0.5185185185185186,0.7692307692307694,0.8311688311688312,0.8421052631578947,0.84375,0.8205128205128206,0.5833333333333334,0.7027027027027026,0.6428571428571429,0.5517241379310345,0.5714285714285715,0.5,0.25,0.5454545454545454,0.4615384615384615,0.5,0.33333333333333337,0,0.4444444444444445,0.6666666666666666,0.0
0.2,0.4,0.6122448979591837,0.5531914893617023,0.46511627906976744,0.4888888888888889,0.4897959183673469,0.7692307692307694,0.8311688311688312,0.8266666666666667,0.8307692307692307,0.7848101265822786,0.5,0.7567567567567567,0.6153846153846153,0.6451612903225806,0.4761904761904762,0.37499999999999994,0.23529411764705882,0.3636363636363636,0.5333333333333333,0.4000000000000001,0.33333333333333337,0,0.5714285714285715,0.8,0.0
0.2,0.5,0.5384615384615384,0.5833333333333334,0.47826086956521735,0.4186046511627907,0.52,0.7631578947368421,0.8311688311688312,0.8461538461538461,0.8571428571428572,0.8051948051948051,0.5454545454545455,0.6857142857142857,0.5,0.7058823529411765,0.5,0.37499999999999994,0.26666666666666666,0.3333333333333333,0.6,0.3636363636363636,0.5,0,0.7499999999999999,0.8,0.14285714285714288
0.2,0.6,0.6,0.5217391304347826,0.47619047619047616,0.4186046511627907,0.5,0.7435897435897435,0.8000000000000002,0.8148148148148148,0.84375,0.825,0.4545454545454545,0.588235294117647,0.4615384615384615,0.7428571428571428,0.5217391304347826,0.47058823529411764,0.13333333333333333,0.42857142857142855,0.5454545454545454,0.47619047619047616,0.33333333333333337,0,0.6666666666666665,0.8,0.28571428571428575
0.3,0.2,0.6399999999999999,0.4444444444444445,0.46153846153846156,0.5531914893617021,0.6296296296296297,0.7894736842105263,0.8461538461538461,0.8536585365853658,0.8387096774193549,0.7894736842105263,0.5833333333333334,0.7222222222222222,0.5925925925925926,0.6250000000000001,0.6,0.15384615384615383,0.33333333333333326,0.5454545454545454,0.5599999999999999,0.4000000000000001,0.25,0,0.6666666666666666,0.8,0.15384615384615383
0.3,0.3,0.5599999999999999,0.4782608695652174,0.5531914893617021,0.380952380952381,0.6071428571428571,0.7848101265822786,0.8311688311688312,0.8378378378378378,0.8125,0.8395061728395061,0.5217391304347827,0.7027027027027026,0.5925925925925926,0.5517241379310345,0.5714285714285715,0.5,0.25,0.5454545454545454,0.5384615384615384,0.5,0.25,0,0.4444444444444445,0.8,0.16666666666666669
0.3,0.4,0.5306122448979592,0.5833333333333334,0.5116279069767442,0.47619047619047616,0.5833333333333334,0.7692307692307694,0.8157894736842105,0.8571428571428572,0.8307692307692307,0.7894736842105263,0.5217391304347827,0.6857142857142857,0.5925925925925926,0.6206896551724137,0.4,0.47058823529411764,0.26666666666666666,0.30769230769230765,0.5161290322580646,0.380952380952381,0.22222222222222224,0,0.4444444444444445,0.8,0.0
0.3,0.5,0.5925925925925926,0.5531914893617023,0.47826086956521735,0.42857142857142855,0.5384615384615384,0.7631578947368421,0.8311688311688312,0.8205128205128205,0.8571428571428572,0.7894736842105263,0.5454545454545455,0.7567567567567567,0.4444444444444445,0.7272727272727272,0.5384615384615384,0.4444444444444445,0.23529411764705882,0.4615384615384615,0.6206896551724139,0.3,0.25,0,0.6666666666666665,0.8,0.15384615384615383
