,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,cochangescore5,cochangescore6,cochangescore7,cochangescore8,cochangescore9,keymove0,keymove1,keymove2,keymove3,keymove4,keymove5,keymove6,keymove7,keymove8,keymove9,jump0,jump1,jump2,jump3,jump4,jump5,jump6,jump7,jump8,jump9,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,movetomouse5,movetomouse6,movetomouse7,movetomouse8,movetomouse9,costopall0,costopall1,costopall2,costopall3,costopall4,costopall5,costopall6,costopall7,costopall8,costopall9
best_grid_set,"(0.3, 1)","(0.2, 1)","(0.3, 1)","(0.2, 1)","(0.2, 1)","(0.1, 1)","(0.3, 1)","(0.1, 1)","(0.3, 1)","(0.1, 1)","(0.3, 1)","(0.3, 1)","(0.3, 1)","(0.3, 1)","(0.2, 1)","(0.3, 1)","(0.2, 1)","(0.3, 1)","(0.3, 1)","(0.3, 1)","(0.2, 1)","(0.1, 1)","(0.1, 1)","(0.2, 1)","(0.3, 1)","(0.2, 1)","(0.1, 1)","(0.1, 1)","(0.2, 1)","(0.3, 1)","(0.3, 1)","(0.2, 1)","(0.2, 1)","(0.2, 1)","(0.2, 1)","(0.3, 1)","(0.2, 1)","(0.2, 1)","(0.1, 1)","(0.1, 1)","(0.1, 1)","(0.1, 1)","(0.1, 1)","(0.1, 1)","(0.1, 1)","(0.2, 1)","(0.2, 1)","(0.2, 1)","(0.2, 1)","(0.1, 1)"
val_f1,0.5517241379310345,0.4615384615384615,0.7199999999999999,0.7199999999999999,0.5185185185185186,0.6363636363636364,0.5454545454545454,0.5263157894736842,0.5454545454545454,0.689655172413793,0.8205128205128205,0.8292682926829269,0.8780487804878049,0.787878787878788,0.8372093023255814,0.7000000000000001,0.8780487804878048,0.9696969696969697,0.7647058823529412,0.8717948717948718,0.5714285714285714,0.7692307692307693,0.5,0.7272727272727273,0.8,0.6153846153846153,0.5714285714285715,0.8000000000000002,0.5,0.7692307692307692,0.5714285714285715,0.4,0.4,0.4444444444444445,0.4000000000000001,0.5,0.3333333333333333,0.5454545454545454,0.588235294117647,0.823529411764706,0.28571428571428575,0,0.5714285714285715,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3636363636363636
