,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,2,5,8,14,23,24,25,29,30,30,32,33,36,36,36,36,37,37,37,40,43,44,44,44,44,44,44,44,44,45,45,45,45,46,46,46,46,46,47,47,47
1,0,0,0,0,0,0,0,3,4,11,13,19,20,23,27,28,32,34,35,38,40,40,40,42,42,42,43,44,45,45,45,45,45,45,45,46,46,46,46,46,47
2,1,3,3,10,14,20,22,26,26,27,27,29,31,33,34,35,36,36,36,37,37,39,39,39,41,44,45,45,45,45,45,45,45,45,46,46,46,46,46,47,47
3,0,0,4,11,17,21,27,28,31,33,35,35,36,37,37,38,40,40,41,41,42,44,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47
4,1,2,10,15,19,21,23,24,28,29,30,31,33,34,36,40,40,41,42,42,43,43,43,43,44,45,45,45,45,45,45,45,45,46,46,46,46,46,47,47,47
5,1,2,4,8,17,22,25,27,28,30,32,32,33,33,34,35,35,38,38,39,40,40,40,40,41,44,45,45,45,45,45,45,45,45,45,46,46,46,46,47,47
6,0,0,7,12,14,18,19,21,21,21,24,28,28,28,31,33,37,37,37,37,38,38,38,39,39,40,41,43,45,45,45,45,45,45,45,45,46,47,47,47,47
7,0,0,0,7,13,19,22,26,26,28,31,32,34,35,36,37,37,39,40,40,40,40,41,44,44,44,44,44,44,44,45,45,45,45,45,46,46,46,47,47,47
8,0,0,4,8,9,10,12,18,24,30,31,33,33,36,37,37,39,39,39,41,42,42,43,43,43,45,45,45,45,46,46,46,46,46,46,46,46,47,47,47,47
9,1,2,8,13,17,22,23,25,27,28,32,34,37,37,37,37,37,37,37,38,38,38,39,40,43,44,45,45,45,45,45,45,46,46,46,46,46,46,47,47,47
