,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,2,3,5,9,13,21,30,39,46,53,57,63,67,68,69,70,70,72,72,72,72,72,73,74,74,74,74,74,74,74,74,74,75,76,76,76,76,76,77,77,77
1,0,0,0,0,1,2,3,9,16,25,34,42,45,51,55,61,65,67,69,70,70,70,72,73,73,73,74,75,75,75,75,75,75,75,75,76,76,76,76,77,77
2,2,6,10,15,23,31,37,39,40,45,54,61,66,69,69,69,69,70,71,72,73,73,73,74,75,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77
3,0,0,1,2,3,6,11,13,18,25,35,43,51,58,61,64,66,67,68,68,69,71,72,72,73,74,74,74,74,75,75,75,76,76,76,76,76,76,76,77,77
4,3,7,9,10,19,28,37,45,51,56,59,63,64,65,66,69,69,71,72,72,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,77,77,77
5,1,2,3,4,7,13,21,31,39,48,53,57,61,65,68,68,70,70,71,71,72,72,72,73,74,74,74,74,74,74,74,74,75,76,76,76,76,76,77,77,77
6,1,2,3,4,7,12,21,30,40,45,51,54,62,63,65,67,69,69,69,70,71,71,72,74,74,74,74,74,74,74,74,74,75,76,76,76,76,76,76,77,77
7,3,6,9,15,24,33,41,49,53,59,63,67,68,69,70,71,71,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,75,76,76,76,76,76,77,77,77
8,3,9,10,17,25,32,42,50,56,61,65,66,67,69,69,69,69,70,71,72,72,74,74,74,74,74,74,74,74,74,74,74,75,76,76,76,76,76,77,77,77
9,3,5,5,10,13,17,25,34,43,49,54,61,65,68,70,71,71,71,72,73,73,73,74,74,75,75,75,75,75,75,75,75,76,76,76,76,76,76,77,77,77
