,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,0,0,0,4,11,15,19,19,20,23,25,25,26,26,26,27,27,28,29,29,30,32,32,32,33,33,33,33,33,33,37,41,43,43,45,46,46,46,46,46,47
1,0,0,8,10,14,16,17,23,24,28,28,28,28,28,30,31,35,38,38,38,38,39,40,41,44,44,44,44,44,45,45,45,45,45,45,45,45,45,46,46,46
2,1,3,4,9,10,17,22,23,24,25,27,27,28,29,29,29,30,30,30,30,32,33,33,33,35,38,38,40,42,43,44,45,46,46,46,46,46,46,46,47,47
3,0,4,5,10,16,19,19,23,27,29,30,32,32,37,38,38,38,38,38,38,38,38,38,38,39,43,43,44,45,45,45,45,46,46,46,46,46,46,46,46,46
4,0,0,3,5,7,7,10,18,23,25,25,25,26,27,31,31,31,31,31,31,32,35,36,37,39,40,43,43,44,44,44,44,44,44,45,45,45,45,46,46,46
5,1,4,6,9,12,20,22,27,31,33,34,35,35,35,37,38,39,39,39,39,40,40,41,42,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,46,46
6,0,1,7,9,14,20,23,25,26,30,30,34,34,34,35,37,38,40,40,40,41,41,41,42,42,42,42,43,44,45,45,45,45,45,45,45,45,45,46,46,47
7,2,3,6,9,14,18,18,26,29,30,31,33,35,35,37,38,40,40,41,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,46,46
8,0,3,4,6,6,12,18,21,21,23,25,27,30,31,32,36,37,38,41,42,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,46,46
9,1,2,4,5,8,8,9,10,12,15,20,27,30,33,38,40,41,42,42,42,42,42,43,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46
