PQGram,Count
doRepeat|{script}|*|*|changeScale|*,12
snapshot|stage:userDef|{sprite:userDef}|script|script|script,5
stage:userDef|sprite:userDef|{script}|*|*|*|receiveKey,24
"{doRepeat}|*|*|literal:userDef",12
"{changeScale}|*|literal:userDef|*|*",5
script|{doRepeat}|*|*|*|literal:userDef,22
"{script}|*|*|*|receiveKey",22
"{script}|*|receiveKey|doRepeat",40
script|{doRepeat}|literal:userDef|script|*,1
doRepeat|{script}|*|changeScale|*,10
"{receiveKey}|literal:userDef|*|*",4
stage:userDef|sprite:userDef|{script}|*|*|receiveKey,24
"{script}|*|*|changeEffect",9
sprite:userDef|script|{doRepeat}|*|*|*|literal:userDef,20
script|{doRepeat}|script|*|*|*,21
sprite:userDef|script|{doRepeat}|script|*|*,31
script|{turn}|*|literal:userDef|*|*,10
"{forward}|literal:userDef",5
doRepeat|script|{forward}|*|*|*|literal:userDef,6
sprite:userDef|{script}|doRepeat|*|*|*,11
"{script}|doRepeat|*|*|*",1
"{doRepeat}|*|literal:userDef",7
stage:userDef|sprite:userDef|{script}|receiveKey,28
"{script}|*|changeScale|*|*",11
doRepeat|script|{changeScale}|*|*|literal:userDef|*,13
"{script}|*|receiveKey",5
sprite:userDef|script|{doForever}|*|script,1
"{script}|turn|*|*",7
"{sprite:userDef}|script|*|*",7
"{script}|*|receiveKey",15
"{script}|*|receiveKey|doRepeat|*",26
sprite:userDef|{script}|receiveKey|doRepeat|*|*,10
"{sprite:userDef}|script|script",5
doRepeat|{script}|*|changeEffect|*,6
stage:userDef|sprite:userDef|{script}|*|receiveKey|doRepeat,29
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",4
sprite:userDef|script|{receiveKey}|literal:userDef|*,35
"{script}|receiveKey|doRepeat",12
"{script}|doRepeat|doRepeat|*",5
"{receiveKey}|*|*|*|literal:userDef",5
"{script}|doRepeat",30
stage:userDef|sprite:userDef|{script}|receiveKey|doRepeat|*,4
script|doRepeat|{script}|bounceOffEdge|*|*|*,3
"{doRepeat}|literal:userDef",40
script|doRepeat|{script}|*|turn,5
sprite:userDef|script|{receiveKey}|*|literal:userDef|*,9
"{sprite:userDef}|script|script",15
sprite:userDef|{script}|*|receiveKey|doRepeat,7
"{changeEffect}|*|literal:userDef|literal:userDef|*",4
"{changeScale}|literal:userDef",14
doRepeat|script|{turn}|*|*|literal:userDef|*,10
script|{changeEffect}|literal:userDef|literal:userDef|*,3
"{receiveKey}|*|*|literal:userDef|*",23
sprite:userDef|script|{doRepeat}|literal:userDef|script,47
doRepeat|{script}|changeScale,8
"{script}|receiveKey|doRepeat",22
"{doRepeat}|*|*|literal:userDef|script",13
stage:userDef|{sprite:userDef}|script|script,16
sprite:userDef|script|{doRepeat}|literal:userDef,31
script|{doRepeat}|*|literal:userDef|script,34
doRepeat|{script}|*|changeScale,9
"{receiveKey}|*|*|literal:userDef",37
sprite:userDef|script|{receiveKey}|*|literal:userDef,17
script|{receiveKey}|*|literal:userDef,35
"{changeScale}|literal:userDef|*|*|*",1
"{script}|receiveKey|doRepeat",32
script|{changeEffect}|literal:userDef|*|*,10
sprite:userDef|script|{receiveKey}|*|*|literal:userDef,5
sprite:userDef|{script}|receiveKey|doRepeat|*,23
"{receiveKey}|*|literal:userDef|*|*",38
script|{changeEffect}|literal:userDef|literal:userDef|*|*,4
"{script}|*|*|receiveKey|doRepeat",7
sprite:userDef|{script}|*|*|receiveKey,19
"{script}|changeEffect",9
script|{receiveKey}|*|*|*|literal:userDef,38
stage:userDef|sprite:userDef|{script}|receiveKey|doRepeat|doForever,1
stage:userDef|sprite:userDef|{script}|doRepeat|*,22
"{forward}|*|literal:userDef|*",7
sprite:userDef|script|{receiveKey}|*|literal:userDef|*|*,9
"{sprite:userDef}|script",22
"{script}|*|changeScale|*",7
script|{receiveKey}|literal:userDef|*|*,15
stage:userDef|{sprite:userDef}|script|script|script|*,3
"*|{snapshot}|varDec:userDef|*|*",1
sprite:userDef|script|{receiveKey}|*|*|*|literal:userDef,15
doRepeat|script|{turn}|*|literal:userDef,7
"{forward}|literal:userDef|*|*|*",10
"{script}|receiveKey|doRepeat|*",25
script|doRepeat|{script}|changeEffect|*|*,8
script|{receiveKey}|*|*|literal:userDef,32
"*|snapshot|{stage:userDef}|*|*|sprite:userDef",1
"{doForever}|*|script|*|*",1
doRepeat|script|{forward}|*|literal:userDef|*,3
sprite:userDef|{script}|*|receiveKey|doRepeat|*,27
script|{doRepeat}|*|literal:userDef|script|*,22
doRepeat|{script}|turn|*|*,10
doRepeat|{script}|*|changeEffect|*|*,7
"{script}|*|*|*|forward",3
"{doRepeat}|literal:userDef|script|*",12
"{script}|receiveKey|doRepeat",2
script|{doRepeat}|literal:userDef|script|*|*,7
"{sprite:userDef}|*|script",1
sprite:userDef|script|{doRepeat}|*|literal:userDef|script|*,20
"{doRepeat}|*|literal:userDef|script|*",30
"{script}|doRepeat|doRepeat",3
sprite:userDef|script|{doRepeat}|*|literal:userDef,11
stage:userDef|sprite:userDef|{script}|doRepeat,12
doRepeat|script|{changeScale}|literal:userDef|*|*|*,2
sprite:userDef|script|{doRepeat}|literal:userDef|script|*|*,31
doRepeat|script|{changeEffect}|literal:userDef|literal:userDef|*,2
"{sprite:userDef}|script|script|*|*",3
doRepeat|{script}|turn|*,7
script|{changeScale}|literal:userDef,1
script|{changeScale}|literal:userDef|*|*,15
doRepeat|script|{changeEffect}|literal:userDef|*|*,5
script|{turn}|literal:userDef|*,5
sprite:userDef|{script}|doRepeat|*|*,14
script|doRepeat|{script}|*|changeScale|*,13
"{doRepeat}|*|*|*|literal:userDef",30
"{sprite:userDef}|*|*|script",10
doRepeat|script|{changeEffect}|*|literal:userDef|literal:userDef,3
script|{doRepeat}|*|*|literal:userDef|script,21
"{receiveKey}|literal:userDef|*|*|*",34
"{script}|*|*|*|changeEffect",10
"{doRepeat}|script|*|*",44
snapshot|stage:userDef|{sprite:userDef}|script,37
sprite:userDef|script|{receiveKey}|literal:userDef|*|*,4
stage:userDef|{sprite:userDef}|script,1
"{doRepeat}|script|*|*",13
"{changeEffect}|*|literal:userDef|literal:userDef",7
stage:userDef|sprite:userDef|{script}|doRepeat|*|*|*,37
stage:userDef|sprite:userDef|{script}|receiveKey|doRepeat,11
sprite:userDef|script|{doRepeat}|*|*|literal:userDef|script,14
sprite:userDef|script|{doRepeat}|script,35
script|{doRepeat}|*|*|literal:userDef,1
"{script}|receiveKey",6
sprite:userDef|script|{doRepeat}|script|*|*|*,14
doRepeat|{script}|*|forward|bounceOffEdge,10
doRepeat|script|{changeScale}|*|literal:userDef|*|*,10
script|{changeScale}|literal:userDef,11
script|{changeScale}|*|literal:userDef,5
stage:userDef|{sprite:userDef}|script,11
"{script}|changeEffect|*|*",6
"{changeScale}|*|literal:userDef|*",5
"{turn}|*|*|literal:userDef|*",5
doRepeat|{script}|*|*|*|changeScale,15
script|doRepeat|{script}|*|*|changeScale|*,13
"{receiveKey}|*|literal:userDef|*",5
"{receiveKey}|literal:userDef",24
"{changeEffect}|literal:userDef|*|*|*",4
"{script}|doRepeat|*|*",36
script|{doRepeat}|*|literal:userDef|script,31
script|{receiveKey}|*|literal:userDef|*|*,14
script|{doRepeat}|*|literal:userDef,25
sprite:userDef|script|{doRepeat}|*|literal:userDef|script,11
script|doRepeat|{script}|changeScale,8
script|{changeScale}|literal:userDef|*|*,12
"{script}|*|forward|bounceOffEdge",7
script|doRepeat|{script}|bounceOffEdge,8
script|{changeEffect}|literal:userDef|literal:userDef|*,6
script|doRepeat|{script}|*|*|forward|bounceOffEdge,3
doRepeat|{script}|*|changeScale,19
doRepeat|script|{forward}|*|*|literal:userDef|*,3
"*|snapshot|{stage:userDef}|sprite:userDef",7
doRepeat|script|{changeEffect}|literal:userDef|literal:userDef|*|*,8
"{script}|doRepeat|*|*",26
sprite:userDef|script|{doRepeat}|literal:userDef,41
doRepeat|{script}|*|changeEffect|*,9
