PQGram,Count
"{script}|doPlaySoundUntilDone|doWait|doSwitchToCostume|doPlaySoundUntilDone",2
"{script}|hide",1
"{script}|show",3
doRepeat|{script}|*|*|doGlide|*,3
"{script}|*|*|*|doGlide",3
"{reportRandom}|*|*|reportAttributeOf",2
snapshot|stage:userDef|{script}|receiveGo,1
sprite:userDef|script|{receiveMessage}|literal:userDef|*,1
script|{doRepeat}|literal:userDef|script|*,1
"{reportAttributeOf}|literal:userDef|literal:userDef|*|*",3
"{reportAttributeOf}|literal:userDef|*|*",12
stage:userDef|sprite:userDef|{script}|gotoXY|setScale|doSwitchToCostume,1
script|{doSwitchToCostume}|*|literal:userDef|*,10
"{doSwitchToCostume}|*|literal:userDef|*",1
script|{doWait}|*|literal:userDef,1
script|doGlide|{reportRandom}|reportAttributeOf|*|*|*,2
"{doPlaySoundUntilDone}|*|*|literal:userDef",9
"{reportRandom}|reportAttributeOf|*|*",2
script|{hide}|*|*|*,1
sprite:userDef|{script}|doPlaySoundUntilDone,8
sprite:userDef|{script}|doPlaySoundUntilDone|doWait|doSwitchToCostume,2
script|{doWait}|literal:userDef|*|*|*,1
"{reportAttributeOf}|*|*|literal:userDef|literal:userDef",9
stage:userDef|sprite:userDef|{script}|receiveGo|hide|*,2
sprite:userDef|{script}|doWait|playSound|doSwitchToCostume,1
doRepeat|script|{doGlide}|literal:userDef|reportRandom,2
sprite:userDef|{script}|doPlaySoundUntilDone,3
"{script}|*|*|receiveGo",1
sprite:userDef|{script}|*|*|receiveGo,2
"{doRepeat}|*|literal:userDef",2
sprite:userDef|{script}|hide|*|*|*,4
stage:userDef|sprite:userDef|{script}|hide|*|*,5
doRepeat|script|{doGlide}|reportRandom,5
doRepeat|script|{doGlide}|literal:userDef,2
"{script}|*|receiveMessage|show",3
"{doGlide}|reportRandom",4
script|{doPlaySoundUntilDone}|*|literal:userDef|*,11
sprite:userDef|{script}|doSwitchToCostume|doPlaySoundUntilDone,1
stage:userDef|sprite:userDef|{script}|show|doRepeat|hide,2
"{reportRandom}|*|reportAttributeOf",3
script|{doPlaySoundUntilDone}|*|*|literal:userDef|*,1
doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{doPlaySoundUntilDone}|*|literal:userDef",9
sprite:userDef|script|{doSwitchToCostume}|literal:userDef,12
"{reportAttributeOf}|literal:userDef",13
"{playSound}|literal:userDef|*|*|*",1
"{reportAttributeOf}|*|*|literal:userDef",4
"{doPlaySoundUntilDone}|*|literal:userDef",4
reportRandom|{reportAttributeOf}|literal:userDef|literal:userDef|*,8
"{script}|doGlide|*",3
"{script}|doPlaySoundUntilDone|doWait|doSwitchToCostume",1
"{doGlide}|*|literal:userDef",1
script|{doStopAllSounds}|*|*|*,1
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
stage:userDef|{script}|receiveGo,1
sprite:userDef|{script}|doWait|doSwitchToCostume,1
doGlide|reportRandom|{reportAttributeOf}|literal:userDef,10
stage:userDef|{script}|receiveGo|doSwitchToCostume|*,1
doGlide|reportRandom|{reportAttributeOf}|literal:userDef|*|*|*,3
"{script}|*|*|*|receiveGo",5
sprite:userDef|script|{doSwitchToCostume}|literal:userDef,7
script|{doSwitchToCostume}|literal:userDef|*,10
sprite:userDef|{script}|doWait,5
doRepeat|{script}|*|doGlide|*|*,3
"{script}|doPlaySoundUntilDone|doSwitchToCostume|doPlaySoundUntilDone",1
"*|{snapshot}|varDec:userDef|*|*",1
sprite:userDef|{script}|doSwitchToCostume|doPlaySoundUntilDone,6
sprite:userDef|{script}|doWait|doPlaySoundUntilDone|doWait|doSwitchToCostume,1
"*|snapshot|{stage:userDef}|sprite:userDef|*",1
sprite:userDef|script|{doPlaySoundUntilDone}|*|*|*|literal:userDef,8
doGlide|{reportRandom}|reportAttributeOf,9
stage:userDef|sprite:userDef|{script}|doWait|playSound|doSwitchToCostume|doBroadcast,1
doRepeat|{script}|*|*|*|doGlide,1
reportRandom|{reportAttributeOf}|literal:userDef|*|*,12
"{doSwitchToCostume}|literal:userDef|*|*|*",2
sprite:userDef|{script}|doBroadcast|doWait,1
script|receiveMessage|{literal:userDef}|*|*|*,1
stage:userDef|sprite:userDef|{script}|*|receiveMessage|show|doRepeat,3
sprite:userDef|{script}|doPlaySoundUntilDone|doSwitchToCostume|doPlaySoundUntilDone,5
script|{doGlide}|reportRandom|reportRandom|*,3
script|{doSwitchToCostume}|*|*|*|literal:userDef,10
"{sprite:userDef}|*|script",1
"{script}|doPlaySoundUntilDone|doSwitchToCostume|doPlaySoundUntilDone",6
sprite:userDef|script|{doSwitchToCostume}|*|*|literal:userDef|*,9
sprite:userDef|script|{doBroadcast}|*|literal:userDef|*|*,1
reportRandom|{reportAttributeOf}|*|literal:userDef|literal:userDef|*,8
stage:userDef|sprite:userDef|{script}|doPlaySoundUntilDone|hide|*|*,1
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*,9
"{doPlaySoundUntilDone}|literal:userDef|*|*",12
script|{doGlide}|*|literal:userDef|reportRandom|reportRandom,1
"{sprite:userDef}|script|script|*|*",3
"{script}|hide|*|*|*",4
doGlide|reportRandom|{reportAttributeOf}|literal:userDef,5
"{script}|doBroadcast",1
sprite:userDef|script|{setScale}|*|literal:userDef|*|*,1
"{script}|doRepeat|hide|*|*",1
doRepeat|script|{doGlide}|*|literal:userDef,1
doGlide|{reportRandom}|reportAttributeOf,4
reportRandom|{reportAttributeOf}|*|*|literal:userDef|literal:userDef,9
"{reportRandom}|reportAttributeOf",12
script|{hide}|*|*,1
sprite:userDef|script|{doPlaySoundUntilDone}|*|*|*|literal:userDef,3
script|doRepeat|{script}|doGlide,2
"{receiveMessage}|literal:userDef|*|*|*",3
"{script}|doRepeat",2
script|{doWait}|literal:userDef|*,5
script|{doPlaySoundUntilDone}|literal:userDef|*|*,1
"{script}|doSwitchToCostume|doPlaySoundUntilDone|doWait",1
doRepeat|script|{doGlide}|*|*|literal:userDef|reportRandom,1
"{reportAttributeOf}|*|*|literal:userDef",9
stage:userDef|{sprite:userDef}|script,1
"{doSwitchToCostume}|*|literal:userDef|*|*",6
stage:userDef|sprite:userDef|{script}|receiveMessage|show,1
script|{doRepeat}|*|*|literal:userDef,1
reportRandom|{reportAttributeOf}|*|*|literal:userDef,4
snapshot|stage:userDef|{script}|doSwitchToCostume,1
"{doGlide}|*|*|literal:userDef|reportRandom",3
stage:userDef|{sprite:userDef}|script,6
sprite:userDef|{script}|show|gotoXY|setScale|doSwitchToCostume,1
sprite:userDef|script|{doPlaySoundUntilDone}|literal:userDef|*|*,12
"{gotoXY}|*|literal:userDef|literal:userDef|*",1
sprite:userDef|script|{doSwitchToCostume}|*|literal:userDef|*|*,1
