PQGram,Count
gotoXY|reportSum|{reportSum}|*|literal:userDef|reportQuotient,1
sprite:userDef|script|{setColor}|*|literal:userDef,2
"{reportDifference}|*|var:userDef|literal:userDef",4
"{script}|doIfElse|*",10
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
"{script}|show",3
script|doRepeat|{reportDifference}|*|literal:userDef|reportStringSize,1
"{receiveMessage}|literal:userDef|*|*|*",28
"{customBlock:userDef}|*|script",12
script|doIfElse|{script}|doIfElse|*,12
"{reportStringSize}|var:userDef",6
"{reportOr}|*|reportEquals",2
"{setScale}|*|literal:userDef|*|*",6
gotoXY|{reportDifference}|var:userDef|literal:userDef,2
sprite:userDef|script|{doWaitUntil}|*|*|*|reportEquals,2
"{reportAttributeOf}|literal:userDef|literal:userDef|*|*",3
stage:userDef|{script}|doHideVar|doHideVar|*|*,1
"{reportMonadic}|*|literal:userDef",20
stage:userDef|sprite:userDef|{script}|doWait|createClone|doWait|evaluateCustomBlock:userDef,1
script|evaluateCustomBlock:userDef|{reportRandom}|literal:userDef|literal:userDef,3
"{doAddToList}|var:userDef|*|*",5
"{gotoXY}|*|*|*|literal:userDef",25
sprite:userDef|script|{receiveOnClone}|*,1
script|{doWaitUntil}|*|reportEquals,5
sprite:userDef|script|{doWaitUntil}|reportEquals,3
sprite:userDef|script|{doForever}|*|script,1
doIf|{reportNot}|*|reportAnd|*,2
script|{doAddToList}|var:userDef|*|*|*,5
"{doSwitchToCostume}|*|reportLetter|*|*",2
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{script}|createClone|*",17
"{script}|doReplaceInList|doReplaceInList|doReplaceInList|doReplaceInList",4
"{setHeading}|*|*|*|literal:userDef",5
"{reportLessThan}|*|var:userDef",22
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
script|gotoXY|{reportRandom}|*|*|literal:userDef|literal:userDef,2
script|{doSwitchToCostume}|*|reportLetter|*|*,6
script|{doIf}|*|reportLessThan|script|*,2
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
doIfElse|script|{evaluateCustomBlock:userDef}|literal:userDef|*,3
"{script}|*|*|*|up",1
doIf|reportAnd|{reportLessThan}|*|var:userDef|literal:userDef,1
reportJoinWords|list|{reportListItem}|*|literal:userDef|var:userDef|*,16
"{reportSum}|literal:userDef",15
list|{reportListItem}|*|*|*|literal:userDef,10
"{reportSum}|reportProduct|*",12
"{doIf}|*|*|*|reportEquals",8
"{doIfElse}|script|*|*",8
doUntil|{script}|doIf,1
doRepeat|{reportStringSize}|var:userDef,3
"{reportProduct}|reportProduct|reportSum|*",3
