PQGram,Count
doForever|script|{doTellTo}|*|*|literal:userDef,5
doTellTo|{reifyScript}|*|*|list,7
reifyScript|script|{doSwitchToCostume}|*|*|literal:userDef,1
doForever|script|{doTellTo}|list,4
script|{doSwitchToCostume}|*|literal:userDef|*,10
"{doSwitchToCostume}|*|literal:userDef|*",1
script|{doWait}|*|literal:userDef,1
"{doWait}|*|*|*|literal:userDef",10
doTellTo|{reifyScript}|*|*|list|script,1
doTellTo|{reifyScript}|script|*|*,3
script|doTellTo|{reifyScript}|*|*|list|script,11
script|doForever|{script}|doTellTo|doWait|doTellTo,1
doTellTo|reifyScript|{script}|*|*|doSwitchToCostume,5
script|{doWait}|literal:userDef|*|*|*,1
script|{doTellTo}|*|*|*|literal:userDef,2
script|{doWait}|literal:userDef|*,10
"{script}|*|*|receiveGo",1
sprite:userDef|script|{doForever}|*|script,1
reifyScript|script|{doSwitchToCostume}|literal:userDef|*,1
sprite:userDef|{script}|*|*|receiveGo,2
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{doTellTo}|reifyScript|list|*|*",6
script|{doTellTo}|literal:userDef|reifyScript|list,9
script|doTellTo|{reifyScript}|*|*|*|list,2
script|doTellTo|{reifyScript}|list,2
script|{doSwitchToCostume}|*|*|literal:userDef,17
"{doTellTo}|list|*|*|*",7
snapshot|customBlock:userDef|{script}|*|*|*|*,1
reifyScript|script|{doSwitchToCostume}|*|literal:userDef,8
reifyScript|script|{doSwitchToCostume}|*|literal:userDef|*,5
"{doGotoObject}|literal:userDef",1
script|{doWait}|*|literal:userDef|*,9
"{doTellTo}|*|*|literal:userDef",4
reifyScript|script|{doSwitchToCostume}|literal:userDef|*|*|*,5
doForever|script|{doSwitchToCostume}|*|literal:userDef|*|*,1
script|doTellTo|{reifyScript}|*|list|script,10
doTellTo|reifyScript|{script}|doSwitchToCostume|*|*,3
"{doTellTo}|*|literal:userDef|reifyScript",6
script|{doWait}|*|*|literal:userDef|*,9
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
"{doTellTo}|literal:userDef",7
doForever|script|{doWait}|*|*|literal:userDef|*,1
doForever|{script}|*|*|*|doGotoObject,1
"{script}|*|doSwitchToCostume",1
script|{doTellTo}|literal:userDef|reifyScript|list|*,10
doForever|script|{doTellTo}|reifyScript,10
script|{doSwitchToCostume}|literal:userDef|*,10
"{snapshot}|customBlock:userDef|*",1
doTellTo|reifyScript|{script}|*|*|doSwitchToCostume|*,10
doForever|{script}|doTellTo,10
sprite:userDef|script|{doForever}|*|*|*|script,1
doForever|script|{doSwitchToCostume}|*|*|literal:userDef,2
script|{doTellTo}|*|literal:userDef,10
script|{doTellTo}|list|*|*,3
doForever|{script}|doTellTo,5
"{doTellTo}|*|*|literal:userDef|reifyScript",1
"{doTellTo}|*|*|literal:userDef",9
stage:userDef|sprite:userDef|{script}|clear|*,1
"*|snapshot|{stage:userDef}|sprite:userDef|*",1
"{doSwitchToCostume}|*|*|literal:userDef|*",16
doTellTo|{reifyScript}|script|*,10
doTellTo|{reifyScript}|script|*,5
"{doSwitchToCostume}|literal:userDef|*|*|*",2
"*|snapshot|{stage:userDef}|*|*|sprite:userDef",1
doTellTo|reifyScript|{script}|*|doSwitchToCostume|*|*,7
"{doForever}|*|script|*|*",1
"{doTellTo}|reifyScript|list",8
script|doForever|{script}|doWait|doTellTo|doWait|clear,1
"{script}|*|*|evaluateCustomBlock:userDef",1
"{reifyScript}|list|script|*|*",11
"{script}|*|doSwitchToCostume",11
"{script}|doTellTo|doWait|*",1
script|doTellTo|{reifyScript}|list|script|*,11
