PQGram,Count
"{script}|receiveGo|doForever|*",3
script|{doForever}|script,1
snapshot|stage:userDef|{sprite:userDef}|*|*|*|script,3
doForever|script|{doSwitchToCostume}|literal:userDef|*|*|*,4
doForever|script|{doSwitchToCostume}|literal:userDef|*,3
"{doSwitchToCostume}|*|*|*|literal:userDef",9
"{doSayFor}|*|*|literal:userDef",8
"{script}|doSayFor|doSwitchToCostume",12
script|{doSayFor}|*|*|literal:userDef,8
script|doForever|{script}|doSwitchToCostume,3
script|{doSayFor}|*|*|literal:userDef|literal:userDef,7
stage:userDef|sprite:userDef|{script}|receiveGo|doForever,3
script|{doForever}|*|script|*|*,3
"*|snapshot|{stage:userDef}|*|sprite:userDef|sprite:userDef",1
"*|{snapshot}|*|*|*|stage:userDef",1
doForever|script|{doSwitchToCostume}|literal:userDef,9
"{script}|doSayFor|doSwitchToCostume",7
script|{doSwitchToCostume}|*|literal:userDef|*,10
doForever|{script}|doSwitchToCostume|*,2
"{doSwitchToCostume}|*|literal:userDef|*",1
doForever|{script}|doSwitchToCostume|doSayFor|doSwitchToCostume,2
stage:userDef|sprite:userDef|{script}|*|*|*|receiveGo,2
"{script}|doSayFor|doSwitchToCostume",2
stage:userDef|sprite:userDef|{script}|doForever,2
doForever|{script}|doSwitchToCostume|doSayFor|doSwitchToCostume|doSayFor,5
script|{doSayFor}|literal:userDef|*,2
doForever|script|{doSwitchToCostume}|*|*|literal:userDef,10
sprite:userDef|{script}|*|receiveGo,3
"{script}|*|*|receiveGo",1
sprite:userDef|script|{doForever}|*|script,1
stage:userDef|{sprite:userDef}|*|script,1
sprite:userDef|{script}|*|*|receiveGo,2
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{doSwitchToCostume}|literal:userDef|*|*|*",13
"{doSayFor}|*|literal:userDef|literal:userDef|*",2
doForever|script|{doSayFor}|*|*|literal:userDef|literal:userDef,10
script|doForever|{script}|doSwitchToCostume|doSayFor|doSwitchToCostume|doSayFor,3
doForever|script|{doSayFor}|literal:userDef|*,9
"*|snapshot|{varDec:userDef}|*|*|*|*",1
doForever|script|{doSwitchToCostume}|*|literal:userDef|*,14
stage:userDef|{sprite:userDef}|*|*|*|script,1
doForever|script|{doSayFor}|*|*|*|literal:userDef,2
script|doForever|{script}|doSayFor|doSwitchToCostume,7
doForever|{script}|*|doSwitchToCostume|doSayFor,2
"{script}|doSayFor|doSwitchToCostume|doSayFor",6
sprite:userDef|script|{doForever}|*|script|*,1
"{doSwitchToCostume}|*|literal:userDef",15
"{doSayFor}|literal:userDef",17
