PQGram,Count
sprite:userDef|script|{doTellTo}|reifyScript|list|*,55
script|{receiveInteraction}|*|literal:userDef|*,66
sprite:userDef|{script}|*|evaluateCustomBlock:userDef,113
"{doTellTo}|reifyScript|list",53
sprite:userDef|script|{doBroadcast}|literal:userDef|*|*,5
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef,31
"{script}|show",3
"{script}|doBroadcast",30
script|{doTellTo}|reifyScript|list,64
script|{doTellTo}|*|literal:userDef|reifyScript|list,16
sprite:userDef|{script}|hide,42
sprite:userDef|script|{doSayFor}|*|literal:userDef,21
script|{receiveKey}|*|*|literal:userDef,82
doTellTo|reifyScript|{script}|doSwitchToCostume,24
sprite:userDef|script|{doBroadcast}|literal:userDef,52
sprite:userDef|{script}|doBroadcast|doWait,47
"{script}|*|evaluateCustomBlock:userDef|hide",53
"{doBroadcast}|*|*|literal:userDef|*",41
stage:userDef|sprite:userDef|{script}|doWait|doTellTo,49
sprite:userDef|{script}|evaluateCustomBlock:userDef|doSwitchToCostume,5
stage:userDef|sprite:userDef|{script}|receiveInteraction|doBroadcast,13
"{receiveInteraction}|*|*|literal:userDef",53
"{script}|*|*|evaluateCustomBlock:userDef|show",12
"{sprite:userDef}|script|script|script",90
reifyScript|{script}|*|*|*|doSwitchToCostume,60
stage:userDef|{sprite:userDef}|script|script,272
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
"{reifyScript}|*|*|list",62
"{script}|doSwitchToCostume|*",65
snapshot|stage:userDef|{sprite:userDef}|script|script|*,56
stage:userDef|sprite:userDef|{script}|show|*|*,80
script|{doWait}|literal:userDef|*|*|*,40
"{sprite:userDef}|script|*|*",48
"{sprite:userDef}|script|script",5
stage:userDef|sprite:userDef|{script}|hide|*|*|*,69
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef|sprite:userDef|sprite:userDef",82
script|{receiveKey}|literal:userDef|*,44
"{receiveKey}|*|*|*|literal:userDef",5
sprite:userDef|script|{doSwitchToCostume}|*|*|literal:userDef,33
snapshot|stage:userDef|{sprite:userDef}|script|*,35
"{script}|doChangeVar|doBroadcast|doWait|doTellTo",13
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|doSwitchToCostume|doWait,1
script|{doBroadcast}|*|*|*|literal:userDef,65
sprite:userDef|{script}|*|*|*|evaluateCustomBlock:userDef,232
doTellTo|reifyScript|{script}|doSwitchToCostume|*|*,26
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",54
"{script}|*|evaluateCustomBlock:userDef",146
sprite:userDef|{script}|doTellTo|*|*,36
script|{doTellTo}|reifyScript|list|*,47
"{script}|show|*|*",82
script|{receiveKey}|literal:userDef|*|*|*,57
"{doTellTo}|reifyScript",26
doTellTo|reifyScript|{script}|*|*|*|doSwitchToCostume,14
"{receiveKey}|*|*|literal:userDef",37
sprite:userDef|script|{doThinkFor}|literal:userDef|*|*,8
sprite:userDef|{script}|doWait|doTellTo|*,11
sprite:userDef|script|{doSayFor}|*|literal:userDef|literal:userDef|*,9
sprite:userDef|{script}|evaluateCustomBlock:userDef|hide,32
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
sprite:userDef|{script}|receiveInteraction|doBroadcast,22
script|{doSwitchToCostume}|*|literal:userDef|*,85
script|{doBroadcast}|*|literal:userDef,66
sprite:userDef|{script}|show|*|*,42
"{sprite:userDef}|*|script",11
"{sprite:userDef}|script",22
script|{doSwitchToCostume}|literal:userDef|*|*|*,29
sprite:userDef|{script}|hide|*,25
script|{doWait}|literal:userDef|*|*,21
stage:userDef|{sprite:userDef}|script|script,57
"{doThinkFor}|literal:userDef",27
script|{doSayFor}|*|*|literal:userDef|literal:userDef,15
stage:userDef|sprite:userDef|{script}|doWait|doTellTo|*,9
snapshot|stage:userDef|{sprite:userDef}|script|script|script,230
"{script}|*|doSwitchToCostume",16
stage:userDef|sprite:userDef|{script}|evaluateCustomBlock:userDef,82
sprite:userDef|{script}|doWait,25
script|receiveMessage|{literal:userDef}|*|*|*,1
stage:userDef|sprite:userDef|{script}|doChangeVar|doBroadcast,2
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef|hide|*,67
sprite:userDef|{script}|receiveKey|hide,24
sprite:userDef|{script}|*|evaluateCustomBlock:userDef|hide,15
script|{receiveInteraction}|*|*|literal:userDef|*,54
snapshot|{stage:userDef}|sprite:userDef|sprite:userDef|sprite:userDef,35
stage:userDef|sprite:userDef|{script}|doBroadcast|doWait|doTellTo,40
sprite:userDef|script|{doBroadcast}|literal:userDef|*,35
stage:userDef|{sprite:userDef}|script|script|script,76
stage:userDef|sprite:userDef|{script}|*|*|receiveInteraction,27
sprite:userDef|{script}|doWait|doTellTo,40
doTellTo|{reifyScript}|*|list|script|*,48
stage:userDef|sprite:userDef|{script}|receiveKey|hide,86
script|{receiveMessage}|*|literal:userDef|*,4
"{sprite:userDef}|script|script|*|*",3
sprite:userDef|{script}|hide,122
"{script}|evaluateCustomBlock:userDef|show",23
stage:userDef|{sprite:userDef}|script|*|*|*,36
script|{doTellTo}|literal:userDef|reifyScript|list|*,56
"{doSayFor}|literal:userDef",45
script|{receiveInteraction}|literal:userDef|*|*|*,69
script|{receiveInteraction}|*|literal:userDef|*|*,49
sprite:userDef|{script}|*|*|evaluateCustomBlock:userDef|hide,90
"{script}|evaluateCustomBlock:userDef|show|*",68
"{receiveInteraction}|*|*|*|literal:userDef",12
sprite:userDef|{script}|hide|*|*|*,206
"{doTellTo}|reifyScript|list|*",36
stage:userDef|sprite:userDef|{script}|*|evaluateCustomBlock:userDef,228
doTellTo|reifyScript|{script}|*|*|doSwitchToCostume|*,52
doTellTo|{reifyScript}|*|list|script|*,2
snapshot|stage:userDef|{sprite:userDef}|script,416
script|{doTellTo}|*|*|literal:userDef|reifyScript,42
reifyScript|script|{doSwitchToCostume}|literal:userDef|*|*,16
script|{receiveKey}|*|*|literal:userDef|*,88
