PQGram,Count
stage:userDef|{script}|doSwitchToCostume|doWait,5
"{doWait}|*|*|literal:userDef",2
script|{doForever}|script,1
"{script}|doWait|doSwitchToCostume",2
script|{doWait}|*|literal:userDef|*,2
"{doSwitchToCostume}|*|*|literal:userDef",1
"{doPlaySoundUntilDone}|literal:userDef|*|*",1
script|{doWait}|literal:userDef|*|*|*,3
snapshot|stage:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,3
snapshot|stage:userDef|{script}|receiveGo,1
"{literal:userDef}|*|*|*",1
"{snapshot}|stage:userDef|varDec:userDef|*|*",1
snapshot|stage:userDef|{script}|doSwitchToCostume|doWait|*,1
script|{doWait}|literal:userDef|*|*,1
stage:userDef|script|{doWait}|literal:userDef,3
"{stage:userDef}|*|*|script|script",1
script|{doSwitchToCostume}|literal:userDef|*|*|*,4
"*|{snapshot}|*|*|*|stage:userDef",1
snapshot|stage:userDef|{script}|receiveGo|doForever|*,1
snapshot|stage:userDef|{script}|doSwitchToCostume|doWait,5
script|{doWait}|*|*|literal:userDef,2
"{doSwitchToCostume}|*|literal:userDef|*",1
script|{doWait}|*|literal:userDef,1
"*|*|{snapshot}|stage:userDef|varDec:userDef",1
script|{doWait}|literal:userDef|*,1
"{doSwitchToCostume}|literal:userDef|*|*|*",4
"{doWait}|*|literal:userDef|*",2
stage:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,3
"{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait",2
script|{doWait}|literal:userDef|*|*|*,1
snapshot|{stage:userDef}|script|*|*,1
doForever|{script}|doPlaySoundUntilDone,1
"{script}|*|*|receiveGo",1
script|{doWait}|literal:userDef,1
script|{doForever}|*|script|*|*,1
script|doForever|{script}|doPlaySoundUntilDone,1
"{doWait}|*|*|*|literal:userDef",1
script|{doSwitchToCostume}|literal:userDef|*|*|*,2
stage:userDef|script|{doWait}|*|*|literal:userDef|*,5
"*|snapshot|{stage:userDef}|script|*|*|*",1
"*|snapshot|{stage:userDef}|script|*|*",1
script|doWait|{literal:userDef}|*|*|*,1
stage:userDef|{script}|*|*|receiveGo|doForever,1
script|{doSwitchToCostume}|*|*|literal:userDef,1
"*|snapshot|{varDec:userDef}|*|*|*|*",1
script|{doSwitchToCostume}|literal:userDef|*,3
"{script}|doWait|doSwitchToCostume|doWait",1
stage:userDef|script|{doWait}|*|*|*|literal:userDef,1
snapshot|stage:userDef|{script}|*|*|*|receiveGo,2
snapshot|{stage:userDef}|*|script|script,1
"*|{snapshot}|*|stage:userDef|varDec:userDef",1
stage:userDef|script|{doSwitchToCostume}|literal:userDef|*,1
"{stage:userDef}|script",2
stage:userDef|script|{doSwitchToCostume}|*|*|literal:userDef|*,3
stage:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,1
"{script}|doWait|*|*",1
stage:userDef|{script}|*|receiveGo,1
stage:userDef|{script}|receiveGo|doSwitchToCostume|doWait|doSwitchToCostume,1
"{script}|*|receiveGo",2
stage:userDef|script|{doSwitchToCostume}|literal:userDef|*|*|*,3
stage:userDef|script|{doWait}|*|literal:userDef|*|*,3
"{doSwitchToCostume}|literal:userDef|*|*",2
script|{doPlaySoundUntilDone}|*|*|literal:userDef|*,1
script|{doSwitchToCostume}|literal:userDef,1
stage:userDef|{script}|*|*|receiveGo,2
stage:userDef|{script}|doWait,3
doPlaySoundUntilDone|{literal:userDef}|*|*,1
"{script}|*|receiveGo|doSwitchToCostume|doWait",1
"{script}|doSwitchToCostume",4
"{doWait}|literal:userDef|*|*|*",3
"{script}|doSwitchToCostume|doWait",5
script|{doWait}|literal:userDef|*,3
"{doForever}|script|*|*|*",1
stage:userDef|{script}|doForever|*|*|*,1
"{doWait}|literal:userDef|*",1
doWait|{literal:userDef}|*|*|*|*,1
"{doSwitchToCostume}|*|literal:userDef|*",3
