PQGram,Count
"{script}|hide",1
doIf|{reportEquals}|literal:userDef|var:userDef,89
"{doSetVar}|literal:userDef|*",123
"{reportEquals}|*|literal:userDef|var:userDef|*",34
stage:userDef|sprite:userDef|{script}|doIf|doIf,12
script|{doSetVar}|varMenu:userDef|literal:userDef|*|*,17
sprite:userDef|script|{doIf}|reportEquals|script|*,24
script|doIf|{script}|*|*|doSetVar,99
script|{doIf}|*|*|reportEquals|script,3
stage:userDef|sprite:userDef|{script}|*|*|*|receiveMessage,8
"{script}|doSetVar",44
"{reportEquals}|*|*|literal:userDef|var:userDef",114
"{doSetVar}|literal:userDef|*|*|*",122
"{reportEquals}|var:userDef|*|*",88
script|doIf|{script}|*|*|doSetVar|*,8
"{reportEquals}|literal:userDef|var:userDef|*|*",50
stage:userDef|sprite:userDef|{script}|doIf|doIf|doIf,57
doIf|{reportEquals}|literal:userDef|var:userDef|*,72
script|{doIf}|reportEquals,54
sprite:userDef|{script}|doIf|doIf|doIf,42
sprite:userDef|{script}|*|*|*|receiveMessage,23
"{sprite:userDef}|script|script",5
script|{doSetVar}|literal:userDef|*|*|*,117
script|doIf|{reportEquals}|literal:userDef,67
sprite:userDef|{script}|receiveMessage|doShowVar|*,7
doIf|script|{doSetVar}|literal:userDef,99
script|doIf|{script}|doBroadcast,8
"{receiveKey}|*|*|*|literal:userDef",5
sprite:userDef|script|{doSetVar}|varMenu:userDef,5
doIf|{reportEquals}|*|*|literal:userDef|var:userDef,93
"{reportEquals}|var:userDef|*|*|*",77
script|{doSetVar}|*|varMenu:userDef|literal:userDef,87
script|doIf|{reportEquals}|var:userDef|*|*|*,19
script|doIf|{reportEquals}|*|literal:userDef,41
doIf|{script}|doSetVar|*,69
stage:userDef|{script}|doForever|*|*|*,1
"{doIf}|*|*|*|reportEquals",8
"{reportRandom}|literal:userDef",6
sprite:userDef|script|{doIf}|*|reportEquals,65
script|{doIf}|reportEquals,94
doSetVar|{reportRandom}|*|literal:userDef|literal:userDef,6
script|{doSetVar}|literal:userDef,60
doIf|script|{doSetVar}|literal:userDef|*,73
"{doSetVar}|literal:userDef|*",83
script|{doSetVar}|varMenu:userDef|literal:userDef,79
stage:userDef|sprite:userDef|{script}|*|receiveMessage,9
script|doIf|{reportEquals}|*|*|*|literal:userDef,89
sprite:userDef|script|{doIf}|reportEquals|script|*,47
script|{doSetVar}|literal:userDef,100
sprite:userDef|{script}|doIf|doIf,5
"{script}|*|doSetVar|*",14
doIf|{reportEquals}|*|*|literal:userDef|var:userDef,70
sprite:userDef|script|{doIf}|reportEquals,25
doIf|{reportEquals}|*|*|*|literal:userDef,92
sprite:userDef|{script}|receiveGo|doShowVar|*|*,3
"{sprite:userDef}|script",22
doIf|script|{doSetVar}|*|*|varMenu:userDef|literal:userDef,27
script|doIf|{reportEquals}|*|literal:userDef|var:userDef|*,101
stage:userDef|{sprite:userDef}|script|script|script|*,3
sprite:userDef|script|{doSetVar}|*|*|varMenu:userDef,15
sprite:userDef|script|{doIf}|*|*|*|reportEquals,42
"{script}|doBroadcast|doBroadcast|doBroadcast|*",1
"{reportEquals}|*|*|*|literal:userDef",94
"{script}|*|*|doSetVar|*",38
"{doSwitchToCostume}|literal:userDef|*|*|*",2
script|receiveMessage|{literal:userDef}|*|*|*,1
sprite:userDef|script|{doIf}|reportEquals|script,5
"{script}|doIf|doIf|doIf",82
"{doIf}|*|reportEquals|script",112
script|doIf|{reportEquals}|var:userDef,14
sprite:userDef|{script}|doIf|*|*|*,1
sprite:userDef|script|{doIf}|reportEquals|script|*|*,81
script|{doIf}|reportEquals|script|*,108
script|{doShowVar}|*|*|varMenu:userDef,7
"{script}|doSetVar|*|*",35
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",96
"{reportEquals}|literal:userDef",72
script|{receiveMessage}|*|literal:userDef|*,4
"{doSetVar}|*|*|varMenu:userDef",90
"{sprite:userDef}|script|script|*|*",3
script|doIf|{reportEquals}|literal:userDef|var:userDef,58
doIf|{script}|*|*|doSetVar,46
"{doIf}|script",57
"{doIf}|reportEquals|script|*",100
