PQGram,Count
stage:userDef|{script}|doSwitchToCostume|doWait,5
sprite:userDef|script|{doSwitchToCostume}|*|literal:userDef,15
"{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait",36
"{doSwitchToCostume}|literal:userDef|*|*",41
"{script}|doSwitchToCostume",22
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*,33
snapshot|stage:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,3
snapshot|stage:userDef|{script}|receiveGo,1
"{doWait}|literal:userDef|*|*|*",39
"{doSwitchToCostume}|*|*|literal:userDef",33
"{script}|doSwitchToCostume|doWait|doSwitchToCostume",22
script|{doSwitchToCostume}|*|literal:userDef|*,10
"{doSwitchToCostume}|*|literal:userDef|*",1
script|{doWait}|*|literal:userDef,1
"{doWait}|*|*|*|literal:userDef",10
script|{doSwitchToCostume}|*|literal:userDef|*,35
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*,32
script|{doWait}|literal:userDef|*|*|*,1
script|{doWait}|literal:userDef|*,10
"{doWait}|*|*|literal:userDef|*",28
"{script}|*|*|receiveGo",1
sprite:userDef|{script}|doSwitchToCostume|doWait,7
script|{doWait}|*|literal:userDef,42
script|{doSwitchToCostume}|*|*|literal:userDef|*,14
stage:userDef|sprite:userDef|{script}|doWait|doSwitchToCostume|doWait,19
"{doWait}|*|literal:userDef|*|*",18
stage:userDef|script|{doWait}|*|*|*|literal:userDef,1
script|{doWait}|literal:userDef|*|*|*,40
"{doWait}|*|literal:userDef|*|*",43
stage:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,1
sprite:userDef|script|{doSwitchToCostume}|*|*|literal:userDef,33
script|{doSwitchToCostume}|*|*|literal:userDef,17
sprite:userDef|{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait,16
sprite:userDef|{script}|doWait|doSwitchToCostume|doWait,9
"{script}|doSwitchToCostume|doWait|doSwitchToCostume|doWait",11
script|{doPlaySoundUntilDone}|*|*|literal:userDef|*,1
doPlaySoundUntilDone|{literal:userDef}|*|*,1
sprite:userDef|script|{doSwitchToCostume}|*|literal:userDef|*,21
sprite:userDef|script|{doSwitchToCostume}|literal:userDef,12
script|{doWait}|*|literal:userDef|*,9
stage:userDef|sprite:userDef|{script}|doWait|doSwitchToCostume,22
sprite:userDef|{script}|doWait|doSwitchToCostume|doWait|doSwitchToCostume,31
"{doWait}|literal:userDef|*|*",24
sprite:userDef|script|{doSwitchToCostume}|literal:userDef|*|*|*,25
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,11
script|{doWait}|*|*|literal:userDef|*,9
sprite:userDef|script|{doWait}|literal:userDef|*|*,29
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
stage:userDef|{script}|receiveGo,1
"{doSwitchToCostume}|*|literal:userDef|*",42
sprite:userDef|{script}|doWait|doSwitchToCostume,1
sprite:userDef|{script}|doWait,10
"{script}|doWait",23
sprite:userDef|{script}|doWait|doSwitchToCostume|doWait|doSwitchToCostume,15
sprite:userDef|script|{doSwitchToCostume}|literal:userDef,7
sprite:userDef|script|{doWait}|literal:userDef|*|*|*,32
script|{doSwitchToCostume}|literal:userDef|*,10
sprite:userDef|{script}|doWait,5
"{doSwitchToCostume}|literal:userDef|*|*|*",27
sprite:userDef|{script}|doWait,15
script|{doSwitchToCostume}|literal:userDef|*|*|*,29
sprite:userDef|script|{doWait}|*|literal:userDef,15
script|{doWait}|literal:userDef|*|*,21
script|{doWait}|*|*|*|literal:userDef,21
"*|{snapshot}|varDec:userDef|*|*",1
script|{doSwitchToCostume}|*|literal:userDef,42
