PQGram,Count
"{doRepeat}|literal:userDef|script|*|*",5
"{script}|doWait|doSwitchToCostume",2
snapshot|stage:userDef|{sprite:userDef}|*|*|*|script,3
stage:userDef|{sprite:userDef}|*|script|*,4
"{doSwitchToCostume}|*|*|*|literal:userDef",9
doRepeat|{script}|*|doWearNextCostume|doWait,2
snapshot|stage:userDef|{sprite:userDef}|*|script|*,5
doRepeat|script|{doWait}|*|literal:userDef|*|*,8
script|{doRepeat}|literal:userDef|script|*,1
"*|snapshot|{stage:userDef}|*|sprite:userDef|sprite:userDef",1
doRepeat|script|{doWait}|*|*|literal:userDef|*,6
"*|{snapshot}|*|*|*|stage:userDef",1
script|{doWait}|*|*|literal:userDef,2
"{doSwitchToCostume}|*|literal:userDef|*",1
script|{doWait}|*|literal:userDef,1
doRepeat|script|{doSwitchToCostume}|*|*|literal:userDef|*,4
script|{receiveInteraction}|*|literal:userDef|*,5
stage:userDef|sprite:userDef|{script}|doRepeat|*|*|*,5
"{script}|doRepeat|*|*|*",1
script|doRepeat|{script}|*|*|doSwitchToCostume|doWait,1
"{receiveInteraction}|*|*|*|literal:userDef",1
"{doWait}|*|literal:userDef|*",2
doRepeat|{script}|*|doWearNextCostume,2
script|{doWait}|literal:userDef|*|*|*,1
"{script}|receiveInteraction|doRepeat",3
stage:userDef|{sprite:userDef}|*|script,1
sprite:userDef|{script}|*|*|receiveInteraction|doRepeat,3
"{sprite:userDef}|script|*|*|*",4
script|doWait|{literal:userDef}|*|*|*,1
"*|snapshot|{varDec:userDef}|*|*|*|*",1
doRepeat|{script}|*|doWearNextCostume|doWait|*,1
"{doRepeat}|*|literal:userDef|script|*",5
"{doRepeat}|*|literal:userDef",2
doRepeat|script|{doWearNextCostume}|*|*,1
"{script}|doWearNextCostume|doWait|*|*",2
stage:userDef|{sprite:userDef}|*|*|*|script,1
"*|snapshot|{stage:userDef}|sprite:userDef|sprite:userDef",4
sprite:userDef|script|{doRepeat}|*|*|*|literal:userDef,4
"{script}|*|doWearNextCostume",2
"{doRepeat}|*|literal:userDef|script",2
doRepeat|script|{doSwitchToCostume}|*|literal:userDef|*|*,6
doRepeat|script|{doSwitchToCostume}|literal:userDef,8
"{doWait}|literal:userDef|*|*|*",3
doRepeat|{script}|doWait|doSwitchToCostume,2
doRepeat|script|{doSwitchToCostume}|literal:userDef|*,3
"{doSwitchToCostume}|*|literal:userDef",5
doRepeat|{script}|*|*|doSwitchToCostume|doWait,2
"{doWait}|literal:userDef|*|*",1
"{sprite:userDef}|*|script|*",3
script|{doSwitchToCostume}|literal:userDef|*|*|*,6
"*|{snapshot}|stage:userDef|varDec:userDef",1
doRepeat|script|{doSwitchToCostume}|literal:userDef|*|*|*,9
script|doRepeat|{script}|doWearNextCostume|doWait|*,2
"{script}|*|doSwitchToCostume",1
doRepeat|{script}|doWearNextCostume|doWait,2
"{script}|doSwitchToCostume|doWait|doSwitchToCostume|*",2
script|{doSwitchToCostume}|*|*|literal:userDef|*,6
script|{receiveInteraction}|*|literal:userDef,4
"{doSwitchToCostume}|literal:userDef",7
"{doWait}|*|literal:userDef",5
script|{doSwitchToCostume}|*|*|literal:userDef,3
snapshot|{varDec:userDef}|*,1
stage:userDef|sprite:userDef|{script}|*|receiveInteraction|doRepeat,4
sprite:userDef|script|{doRepeat}|*|literal:userDef|script,3
"*|{snapshot}|varDec:userDef|*|*",1
doRepeat|{script}|*|*|doWearNextCostume,2
