PQGram,Count
stage:userDef|sprite:userDef|{script}|doSetVar|doSetVar|doUntil,1
reportEquals|{reportSum}|var:userDef,2
stage:userDef|sprite:userDef|{script}|receiveMessage|show,1
doIf|reportEquals|{reportSum}|*|*|*|var:userDef,1
doIf|{reportEquals}|reportSum|*|*,2
"{doIf}|reportNot|script",1
stage:userDef|sprite:userDef|{script}|doSayFor|doSayFor|doUntil|doIf,1
script|{receiveMessage}|*|literal:userDef|*|*,28
doIf|script|{doSayFor}|*|literal:userDef,3
sprite:userDef|script|{doSayFor}|literal:userDef|literal:userDef,14
"{doSetVar}|*|varMenu:userDef|reportRandom|*",2
"{receiveMessage}|literal:userDef",15
script|doIf|{reportNot}|*|*|*|reportEquals,5
"{script}|changeScale|doSwitchToCostume",1
stage:userDef|sprite:userDef|{script}|*|receiveGo,3
reifyScript|{script}|*|doSwitchToCostume|*|*,3
script|{doSayFor}|*|literal:userDef,21
"{receiveMessage}|*|*|literal:userDef",23
sprite:userDef|{script}|gotoXY|*|*|*,3
"{reportSum}|var:userDef|*|*|*",16
"{doChangeVar}|*|varMenu:userDef|literal:userDef|*",4
"{script}|hide|*|*",7
script|{receiveMessage}|*|literal:userDef|*,7
sprite:userDef|script|{doGlide}|literal:userDef|literal:userDef|*,1
sprite:userDef|script|{doTellTo}|literal:userDef|reifyScript,3
"{script}|doBroadcast|*|*",5
doIf|reportNot|{reportEquals}|getLastAnswer|reportSum,1
stage:userDef|sprite:userDef|{script}|receiveMessage|show,4
doIf|reportEquals|{reportSum}|var:userDef,3
"{doSayFor}|literal:userDef|*|*",3
sprite:userDef|{script}|show|doSwitchToCostume|doSetVar,1
snapshot|stage:userDef|{script}|doSwitchToCostume,6
sprite:userDef|script|{doUntil}|*|reportEquals,2
doUntil|{script}|doAsk|doIf,5
"{script}|*|doSayFor|doChangeVar|doBroadcast",4
"{reportEquals}|getLastAnswer",6
script|doUntil|{script}|doIf|*|*,2
stage:userDef|sprite:userDef|{script}|receiveMessage|hide,10
sprite:userDef|{script}|receiveMessage|show|doTellTo|doRepeat,1
"{doSayFor}|literal:userDef|*",2
sprite:userDef|script|{setHeading}|*|*|literal:userDef|*,2
"{doSetVar}|reportRandom|*|*|*",10
snapshot|stage:userDef|{sprite:userDef}|script|script|script|script,22
sprite:userDef|script|{doUntil}|reportEquals,5
"{script}|*|*|forward|doWait",1
"{doSwitchToCostume}|literal:userDef",20
sprite:userDef|script|{doUntil}|*|reportEquals|script,6
"{doChangeVar}|literal:userDef|*|*",8
doIf|{script}|*|doBroadcast|*|*,1
doSetVar|{reportRandom}|*|*|literal:userDef,10
sprite:userDef|script|{doBroadcast}|literal:userDef,1
"{reportEquals}|*|*|getLastAnswer|reportSum",6
"{doSayFor}|literal:userDef|literal:userDef|*",17
"{gotoXY}|literal:userDef|*|*|*",7
script|{doIf}|reportNot,1
"{reportRandom}|literal:userDef",7
"*|*|{snapshot}|*|*|stage:userDef|customBlock:userDef",1
doIf|script|{doChangeVar}|*|varMenu:userDef|literal:userDef,5
script|{doRepeat}|script|*,2
"{doSetVar}|*|varMenu:userDef|literal:userDef|*",2
"{snapshot}|varDec:userDef|varDec:userDef",4
"{reifyScript}|script|*|*",4
script|{receiveMessage}|*|*|literal:userDef|*,33
"{receiveMessage}|literal:userDef|*|*|*",31
sprite:userDef|script|{receiveMessage}|literal:userDef|*,4
"{doIf}|*|reportNot|script",1
"{doSetVar}|*|*|varMenu:userDef",8
sprite:userDef|script|{doWait}|*|*|literal:userDef|*,1
doTellTo|{literal:userDef}|*|*,1
sprite:userDef|{script}|doSayFor|doUntil|doIf|*,2
"{doSetVar}|*|*|*|varMenu:userDef",7
"{reportEquals}|reportSum|*|*|*",15
