,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x125d74710>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x125e13e10>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x125d3a310>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x125d74710>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x125e13e10>, 100)"
val_f1,0.6923076923076923,0.7894736842105263,0.7142857142857143,0.717948717948718,0.64
