,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x125d3a310>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x112333510>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x125e13e10>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x125e13e10>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x125e13e10>, 100)"
val_f1,0.5833333333333334,0.7222222222222223,0.6666666666666666,0.7567567567567567,0.7199999999999999
