,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,0,0,5,6,10,11,13,15,18,19,21,22,24,25,26,27,28,30,31,32,35,38,38,43,45,45,49,50,50,50,50,50,50,50,50,51,51,51,51,51,52
1,2,2,2,7,8,9,9,10,12,16,20,24,26,28,29,31,32,32,34,36,38,42,44,45,48,49,49,49,49,49,49,50,50,51,51,51,51,51,51,51,52
2,1,1,1,4,7,10,13,18,20,22,22,24,25,28,30,33,34,35,36,36,38,40,43,44,45,48,48,50,50,50,50,50,50,50,51,51,51,51,51,51,52
3,1,2,3,7,9,11,12,14,15,16,19,23,24,28,30,32,34,36,37,39,39,39,40,41,41,41,42,42,44,45,46,49,49,49,50,50,50,50,51,51,52
4,0,1,1,3,3,4,8,10,13,15,16,20,21,24,25,27,30,33,34,38,39,40,42,43,44,44,46,46,47,49,49,49,49,49,49,49,49,49,51,51,52
5,0,2,3,3,3,3,6,9,10,12,14,17,20,23,26,31,32,33,34,35,35,36,40,42,45,45,46,48,48,50,50,51,51,51,51,52,52,52,52,52,52
6,1,2,6,8,9,11,13,14,17,20,22,26,28,29,30,31,32,32,32,33,36,38,38,42,43,43,44,47,50,50,50,50,50,50,50,51,51,51,51,51,52
7,2,3,3,7,12,15,18,19,21,22,25,25,26,27,32,33,34,35,38,38,39,40,41,42,44,47,47,48,49,49,50,50,50,50,50,51,51,51,51,51,52
8,1,1,7,7,10,13,17,20,20,22,26,27,28,29,30,31,31,35,36,38,38,39,42,45,47,47,48,50,50,50,50,50,50,50,51,51,51,51,51,51,52
9,1,1,4,8,10,12,17,18,18,20,22,25,27,27,30,33,35,38,39,39,40,41,41,43,45,45,49,50,50,50,50,50,50,50,51,51,51,51,51,51,52
