,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,1,1,0.42553191489361697,0.35555555555555557,0.6229508196721312,0.6101694915254238,0.6666666666666665,0.8,0.7837837837837838,0.7532467532467532,0.7714285714285716,0.7272727272727273,0.5806451612903225,0.3333333333333333,0.5161290322580646,0.7222222222222222,0.5128205128205128,0.25000000000000006,0.32,0.5,0.5806451612903226,0.5217391304347826,0.3636363636363636,0,0.3333333333333333,0.25,0.0
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,1,2,0.6551724137931035,0.4528301886792453,0.42553191489361697,0.5769230769230769,0.6265060240963856,0.7951807228915663,0.891566265060241,0.6176470588235294,0.7999999999999999,0.7045454545454546,0.5454545454545454,0.5,0.4799999999999999,0.6206896551724137,0.4166666666666667,0.33333333333333326,0.41666666666666663,0.4705882352941177,0.5454545454545454,0.6363636363636365,0.30769230769230765,0,0.16666666666666666,0.5714285714285715,0.12500000000000003
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,1,3,0.761904761904762,0.4444444444444445,0.5283018867924527,0.5128205128205128,0.634920634920635,0.523076923076923,0.5084745762711864,0.8444444444444444,0.7941176470588235,0.5833333333333334,0.43478260869565216,0.5652173913043478,0.4,0.6666666666666667,0.38888888888888895,0.5,0.3333333333333333,0.4,0.625,0.6363636363636365,0.3529411764705882,0,0.13333333333333333,0.8,0.28571428571428564
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,1,4,0.7647058823529413,0.5245901639344263,0.6071428571428571,0.3428571428571429,0.46153846153846156,0.6419753086419754,0.6666666666666666,0.7804878048780488,0.7532467532467533,0.7012987012987013,0.5185185185185186,0.5333333333333332,0.5384615384615384,0.631578947368421,0.2222222222222222,0.14285714285714288,0.38461538461538464,0.42105263157894735,0.6451612903225806,0.608695652173913,0.26666666666666666,0,0.20000000000000004,0.4444444444444444,0.28571428571428564
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,2,1,0.7428571428571429,0.4067796610169491,0.6440677966101696,0.42553191489361697,0.746268656716418,0.7857142857142858,0.775,0.7764705882352941,0.7692307692307693,0.746987951807229,0.6,0.5263157894736842,0.6000000000000001,0.6666666666666666,0.5,0.32,0.2105263157894737,0.3157894736842105,0.5185185185185186,0.6956521739130435,0.2,0,0.3636363636363636,0.3333333333333333,0.2222222222222222
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,2,2,0.7428571428571429,0.4333333333333333,0.5714285714285715,0.40909090909090906,0.7384615384615384,0.7500000000000001,0.7654320987654323,0.7586206896551724,0.7761194029850746,0.7435897435897436,0.5294117647058824,0.4864864864864865,0.5517241379310344,0.6470588235294118,0.5,0.32,0.2105263157894737,0.3529411764705882,0.5185185185185186,0.6666666666666666,0.3636363636363636,0,0.3333333333333333,0.4,0.3
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,2,3,0.7428571428571429,0.5423728813559322,0.5555555555555556,0.40909090909090906,0.7246376811594203,0.7816091954022988,0.794871794871795,0.7529411764705882,0.7761194029850746,0.765432098765432,0.5925925925925926,0.5128205128205129,0.5,0.6666666666666666,0.5517241379310345,0.33333333333333337,0.22222222222222224,0.3529411764705882,0.5384615384615384,0.6153846153846154,0.3636363636363636,0,0.3076923076923077,0.3333333333333333,0.3
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,2,4,0.7323943661971831,0.4666666666666667,0.6,0.3902439024390244,0.7272727272727273,0.7586206896551724,0.7532467532467532,0.7674418604651162,0.7575757575757576,0.7500000000000001,0.5925925925925926,0.5365853658536586,0.4,0.5714285714285715,0.5333333333333333,0.28571428571428564,0.2105263157894737,0.3333333333333333,0.5185185185185186,0.608695652173913,0.4,0,0.3076923076923077,0.5714285714285715,0.2105263157894737
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,3,1,0.7761194029850748,0.5925925925925927,0.6461538461538462,0.4545454545454546,0.7123287671232876,0.7073170731707317,0.8051948051948052,0.7469879518072289,0.7692307692307693,0.7228915662650601,0.6153846153846153,0.6666666666666667,0.5925925925925927,0.6666666666666666,0.5925925925925926,0.4799999999999999,0.2105263157894737,0.3529411764705882,0.5333333333333333,0.6666666666666666,0.2222222222222222,0,0.5454545454545454,0.3333333333333333,0.3157894736842105
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128767450>,3,2,0.7761194029850748,0.5925925925925927,0.6440677966101696,0.40909090909090906,0.7123287671232876,0.7529411764705882,0.7733333333333332,0.7380952380952381,0.7500000000000001,0.7560975609756098,0.6153846153846153,0.6666666666666667,0.5925925925925927,0.6666666666666666,0.5,0.36363636363636365,0.2105263157894737,0.3529411764705882,0.5333333333333333,0.6666666666666666,0.4444444444444444,0,0.6666666666666666,0.3333333333333333,0.3157894736842105
