,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,0.2,0.5333333333333332,0.4897959183673469,0.5333333333333333,0.4545454545454545,0.6122448979591837,0.8157894736842105,0.8157894736842105,0.8433734939759037,0.84375,0.8205128205128206,0.64,0.742857142857143,0.6923076923076924,0.6451612903225806,0.6363636363636365,0.5,0.23529411764705882,0.4,0.5599999999999999,0.5714285714285713,0.25,0,0.33333333333333337,1.0,0.28571428571428575
0.1,0.3,0.6122448979591837,0.48780487804878053,0.5116279069767442,0.4390243902439025,0.5599999999999999,0.8051948051948052,0.8311688311688312,0.8205128205128205,0.8571428571428572,0.7948717948717948,0.64,0.742857142857143,0.6666666666666665,0.6250000000000001,0.5714285714285715,0.47058823529411764,0.23529411764705882,0.4,0.5599999999999999,0.6363636363636365,0.25,0,0.33333333333333337,0.5714285714285715,0.15384615384615383
0.1,0.4,0.6382978723404256,0.5652173913043478,0.46808510638297873,0.4186046511627907,0.6,0.8354430379746836,0.8157894736842105,0.8493150684931507,0.8852459016393444,0.7692307692307694,0.5,0.742857142857143,0.5599999999999999,0.6451612903225806,0.5,0.3529411764705882,0.26666666666666666,0.42857142857142855,0.5714285714285715,0.6153846153846154,0.25,0,0.0,0.5714285714285715,0.13333333333333333
0.1,0.5,0.6153846153846154,0.5116279069767442,0.4444444444444444,0.34146341463414637,0.5384615384615384,0.810126582278481,0.8311688311688312,0.7948717948717948,0.9,0.759493670886076,0.5217391304347827,0.7222222222222222,0.5,0.5806451612903226,0.48000000000000004,0.4444444444444445,0.13333333333333333,0.42857142857142855,0.5925925925925926,0.56,0.25,0,0.0,0.5,0.13333333333333333
0.1,0.6,0.5098039215686274,0.4897959183673469,0.5116279069767442,0.35,0.52,0.7317073170731707,0.8266666666666667,0.8,0.8749999999999999,0.7848101265822786,0.5,0.7222222222222222,0.48000000000000004,0.7428571428571428,0.5714285714285715,0.4000000000000001,0.15384615384615383,0.37499999999999994,0.64,0.6153846153846154,0.28571428571428575,0,0.0,0.5,0.13333333333333333
0.2,0.2,0.6250000000000001,0.5652173913043478,0.5714285714285715,0.4545454545454545,0.5882352941176471,0.7894736842105263,0.8157894736842105,0.8292682926829267,0.8253968253968254,0.8311688311688312,0.5833333333333334,0.742857142857143,0.6923076923076924,0.6250000000000001,0.6363636363636365,0.47058823529411764,0.23529411764705882,0.42857142857142855,0.43478260869565216,0.5714285714285713,0.22222222222222224,0,0.0,0.6666666666666666,0.23529411764705882
0.2,0.3,0.5833333333333334,0.5106382978723404,0.5714285714285715,0.45,0.5555555555555555,0.7567567567567567,0.8157894736842105,0.8157894736842105,0.8387096774193549,0.7948717948717948,0.5217391304347827,0.8,0.6666666666666665,0.6250000000000001,0.5454545454545454,0.47058823529411764,0.28571428571428575,0.5,0.43478260869565216,0.5,0.22222222222222224,0,0.33333333333333337,0.6666666666666666,0.22222222222222224
0.2,0.4,0.5957446808510638,0.5217391304347826,0.45454545454545453,0.3902439024390244,0.5882352941176471,0.7837837837837839,0.8000000000000002,0.8266666666666667,0.888888888888889,0.7792207792207791,0.56,0.742857142857143,0.5833333333333334,0.6,0.5,0.47058823529411764,0.26666666666666666,0.28571428571428575,0.4444444444444445,0.6153846153846154,0.20000000000000004,0,0.33333333333333337,0.6666666666666666,0.23529411764705882
0.2,0.5,0.5217391304347826,0.5714285714285714,0.46808510638297873,0.4390243902439025,0.5769230769230769,0.7901234567901235,0.8000000000000002,0.7948717948717948,0.870967741935484,0.8,0.5217391304347827,0.7567567567567567,0.5185185185185186,0.5333333333333333,0.5599999999999999,0.47058823529411764,0.26666666666666666,0.30769230769230765,0.3,0.3636363636363636,0.1818181818181818,0,0.28571428571428575,0.8,0.22222222222222224
0.2,0.6,0.5416666666666667,0.5306122448979592,0.4888888888888889,0.46511627906976744,0.6666666666666666,0.725,0.8311688311688312,0.7792207792207793,0.8749999999999999,0.8333333333333334,0.48,0.7567567567567567,0.5599999999999999,0.7058823529411765,0.5454545454545454,0.4000000000000001,0.14285714285714288,0.26666666666666666,0.380952380952381,0.45454545454545453,0.1818181818181818,0,0.4444444444444445,0.5,0.25
0.3,0.2,0.6153846153846154,0.56,0.5238095238095238,0.47619047619047616,0.5882352941176471,0.8,0.8311688311688312,0.8395061728395062,0.8524590163934426,0.810126582278481,0.5217391304347827,0.7272727272727273,0.6428571428571429,0.6451612903225806,0.6,0.47058823529411764,0.3157894736842105,0.42857142857142855,0.3,0.4347826086956522,0.4000000000000001,0,0.6,0.4,0.11764705882352941
0.3,0.3,0.5416666666666667,0.4897959183673469,0.5853658536585366,0.46153846153846156,0.5185185185185186,0.7466666666666667,0.8157894736842105,0.8378378378378378,0.819672131147541,0.7848101265822786,0.5217391304347827,0.8333333333333333,0.5925925925925926,0.6250000000000001,0.5714285714285715,0.37499999999999994,0.4444444444444445,0.5,0.5714285714285715,0.380952380952381,0.3333333333333333,0,0.4444444444444445,0.5,0.10526315789473685
0.3,0.4,0.6250000000000001,0.4782608695652174,0.5333333333333333,0.358974358974359,0.5555555555555555,0.7435897435897435,0.8000000000000002,0.7894736842105263,0.870967741935484,0.7435897435897435,0.5833333333333334,0.7058823529411765,0.5599999999999999,0.7647058823529411,0.45454545454545453,0.25,0.4444444444444445,0.1818181818181818,0.5217391304347826,0.45454545454545453,0.3333333333333333,0,0.3636363636363636,0.5,0.22222222222222224
0.3,0.5,0.6538461538461539,0.4782608695652174,0.5116279069767442,0.31111111111111117,0.6538461538461539,0.7560975609756099,0.8157894736842105,0.7792207792207793,0.8253968253968254,0.810126582278481,0.5217391304347827,0.7058823529411765,0.5185185185185186,0.6666666666666666,0.5,0.25,0.33333333333333326,0.26666666666666666,0.45454545454545453,0.33333333333333326,0.2857142857142857,0,0.6666666666666666,0.4,0.2105263157894737
0.3,0.6,0.5833333333333334,0.5454545454545454,0.45833333333333337,0.5217391304347826,0.6071428571428571,0.7951807228915663,0.8000000000000002,0.7792207792207793,0.84375,0.8461538461538461,0.56,0.6285714285714286,0.4615384615384615,0.7272727272727272,0.6086956521739131,0.0,0.3529411764705882,0.30769230769230765,0.5714285714285715,0.380952380952381,0.4000000000000001,0,0.6666666666666665,0.28571428571428575,0.23529411764705882
0.4,0.2,0.4897959183673469,0.5909090909090909,0.5128205128205129,0.4864864864864865,0.6037735849056604,0.767123287671233,0.8461538461538461,0.8051948051948051,0.8749999999999999,0.7654320987654323,0.5217391304347827,0.8108108108108109,0.5925925925925926,0.5882352941176471,0.5714285714285715,0.13333333333333333,0.34782608695652173,0.3529411764705882,0.17391304347826086,0.5217391304347826,0.4000000000000001,0,0.5454545454545454,0.22222222222222224,0.0
0.4,0.3,0.5531914893617021,0.4489795918367347,0.6,0.3243243243243243,0.5818181818181819,0.7105263157894737,0.8461538461538461,0.8266666666666667,0.8787878787878789,0.7692307692307694,0.4166666666666667,0.8108108108108109,0.6428571428571429,0.606060606060606,0.5454545454545454,0.125,0.33333333333333326,0.28571428571428575,0.4166666666666667,0.20000000000000004,0.3333333333333333,0,0.20000000000000004,0.3333333333333333,0.0
0.4,0.4,0.6274509803921569,0.6122448979591836,0.5238095238095238,0.4888888888888889,0.6785714285714285,0.7792207792207793,0.8000000000000002,0.8157894736842105,0.888888888888889,0.7160493827160493,0.48,0.7894736842105262,0.5925925925925926,0.6250000000000001,0.5217391304347826,0.5333333333333333,0.25,0.0,0.4166666666666667,0.3636363636363636,0.3333333333333333,0,0.16666666666666666,0.25,0.0
0.4,0.5,0.6274509803921569,0.5909090909090909,0.4878048780487805,0.4782608695652174,0.7169811320754716,0.7272727272727273,0.8157894736842105,0.8354430379746836,0.8484848484848485,0.7654320987654323,0.5,0.7894736842105262,0.5185185185185186,0.5806451612903226,0.5,0.30769230769230765,0.37499999999999994,0.16666666666666666,0.6,0.3529411764705882,0.2857142857142857,0,0.4444444444444445,0.5714285714285715,0.0
0.4,0.6,0.6909090909090908,0.6086956521739131,0.5581395348837209,0.5909090909090909,0.6538461538461539,0.7692307692307694,0.8205128205128205,0.7323943661971831,0.8059701492537312,0.7435897435897435,0.5185185185185186,0.7368421052631577,0.4615384615384615,0.606060606060606,0.6153846153846153,0.16666666666666669,0.37499999999999994,0.15384615384615383,0.631578947368421,0.4444444444444445,0.4000000000000001,0,0.6666666666666665,0.3333333333333333,0.23529411764705882
0.5,0.2,0.5599999999999999,0.40909090909090906,0.45,0.391304347826087,0.6153846153846154,0.7792207792207793,0.8378378378378378,0.7792207792207793,0.7692307692307692,0.8235294117647058,0.4615384615384615,0.8108108108108109,0.5714285714285715,0.6285714285714287,0.45454545454545453,0.0,0.25,0.0,0.45454545454545453,0.41666666666666663,0.28571428571428575,0,0.4000000000000001,0.3333333333333333,0.125
0.5,0.3,0.5116279069767442,0.35000000000000003,0.5128205128205129,0.5185185185185185,0.6545454545454545,0.7272727272727273,0.8266666666666667,0.7894736842105263,0.7384615384615385,0.7619047619047619,0.4166666666666667,0.8421052631578947,0.6428571428571429,0.6285714285714287,0.43478260869565216,0.0,0.14285714285714288,0.0,0.4210526315789474,0.380952380952381,0.5,0,0.5,0.5714285714285715,0.22222222222222224
0.5,0.4,0.693877551020408,0.5,0.5853658536585366,0.4186046511627907,0.6530612244897959,0.7594936708860759,0.8000000000000002,0.7948717948717948,0.7692307692307692,0.7380952380952381,0.4615384615384615,0.8205128205128205,0.5384615384615384,0.5454545454545454,0.5217391304347826,0.18181818181818182,0.14285714285714288,0.0,0.4444444444444444,0.380952380952381,0.5714285714285715,0,0.6,0.5714285714285715,0.26666666666666666
