,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
best_grid_set,"(0.5, 0.5)","(0.4, 0.4)","(0.4, 0.3)","(0.4, 0.6)","(0.4, 0.5)","(0.1, 0.4)","(0.4, 0.2)","(0.1, 0.4)","(0.1, 0.5)","(0.3, 0.6)","(0.1, 0.2)","(0.5, 0.3)","(0.1, 0.2)","(0.3, 0.4)","(0.1, 0.2)","(0.4, 0.4)","(0.3, 0.3)","(0.2, 0.3)","(0.1, 0.6)","(0.1, 0.3)","(0.5, 0.4)","(0.1, 0.2)","(0.3, 0.5)","(0.1, 0.2)","(0.1, 0.2)"
val_f1,0.7083333333333334,0.6122448979591836,0.6,0.5909090909090909,0.7169811320754716,0.8354430379746836,0.8461538461538461,0.8493150684931507,0.9,0.8461538461538461,0.64,0.8421052631578947,0.6923076923076924,0.7647058823529411,0.6363636363636365,0.5333333333333333,0.4444444444444445,0.5,0.64,0.6363636363636365,0.5714285714285715,0,0.6666666666666666,1.0,0.28571428571428575
