,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,cochangescore,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,keymove,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,movetomouse,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall,costopall
,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
f1,0.7103448275862069,0.71280276816609,0.710801393728223,0.7098976109215017,0.7430555555555556,0.7375886524822695,0.7338129496402879,0.7228070175438597,0.7612456747404844,0.7253521126760563,0.7412587412587412,0.7335640138408305,0.8641975308641976,0.8578553615960098,0.8486352357320099,0.8500000000000001,0.86,0.8375634517766497,0.8434343434343433,0.8513853904282116,0.849246231155779,0.8265306122448979,0.8286445012787723,0.8375634517766497,0.7027027027027027,0.697986577181208,0.684931506849315,0.7074829931972788,0.7114093959731543,0.7189542483660132,0.7105263157894737,0.6973684210526315,0.6845637583892616,0.7105263157894737,0.68,0.6973684210526315,0.5070422535211268,0.5866666666666667,0.5405405405405406,0.5,0.5555555555555556,0.5675675675675675,0.5822784810126582,0.5128205128205129,0.5633802816901408,0.6,0.5750000000000001,0.5569620253164558,0.07692307692307693,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0,0.07407407407407407,0.06896551724137932,0.06896551724137932,0.07407407407407407,0.07142857142857142,0.07407407407407407,0.13333333333333333
recall,0.7054794520547946,0.7054794520547946,0.6986301369863014,0.7123287671232876,0.7328767123287672,0.7123287671232876,0.6986301369863014,0.7054794520547946,0.7534246575342466,0.7054794520547946,0.726027397260274,0.726027397260274,0.8883248730964467,0.8730964467005076,0.868020304568528,0.8629441624365483,0.8730964467005076,0.8375634517766497,0.8477157360406091,0.8578680203045685,0.8578680203045685,0.8223350253807107,0.8223350253807107,0.8375634517766497,0.6419753086419753,0.6419753086419753,0.6172839506172839,0.6419753086419753,0.654320987654321,0.6790123456790124,0.6666666666666666,0.654320987654321,0.6296296296296297,0.6666666666666666,0.6296296296296297,0.654320987654321,0.3673469387755102,0.4489795918367347,0.40816326530612246,0.3877551020408163,0.40816326530612246,0.42857142857142855,0.46938775510204084,0.40816326530612246,0.40816326530612246,0.4897959183673469,0.46938775510204084,0.4489795918367347,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.08
precision,0.7152777777777778,0.7202797202797203,0.723404255319149,0.7074829931972789,0.7535211267605634,0.7647058823529411,0.7727272727272727,0.7410071942446043,0.7692307692307693,0.7463768115942029,0.7571428571428571,0.7412587412587412,0.8413461538461539,0.8431372549019608,0.8300970873786407,0.8374384236453202,0.8472906403940886,0.8375634517766497,0.8391959798994975,0.845,0.8407960199004975,0.8307692307692308,0.8350515463917526,0.8375634517766497,0.7761194029850746,0.7647058823529411,0.7692307692307693,0.7878787878787878,0.7794117647058824,0.7638888888888888,0.7605633802816901,0.7464788732394366,0.75,0.7605633802816901,0.7391304347826086,0.7464788732394366,0.8181818181818182,0.8461538461538461,0.8,0.7037037037037037,0.8695652173913043,0.84,0.7666666666666667,0.6896551724137931,0.9090909090909091,0.7741935483870968,0.7419354838709677,0.7333333333333333,1.0,0.5,0.5,0.5,0.0,0.5,0.25,0.25,0.5,0.3333333333333333,0.5,0.4
avg_feature_count,358.0,1045.0,1645.0,2121.0,761.0,2191.0,3209.0,4018.0,1135.0,2915.0,4339.0,5456.0,358.0,1045.0,1645.0,2121.0,761.0,2191.0,3209.0,4018.0,1135.0,2915.0,4339.0,5456.0,358.0,1045.0,1645.0,2121.0,761.0,2191.0,3209.0,4018.0,1135.0,2915.0,4339.0,5456.0,358.0,1045.0,1645.0,2121.0,761.0,2191.0,3209.0,4018.0,1135.0,2915.0,4339.0,5456.0,358.0,1045.0,1645.0,2121.0,761.0,2191.0,3209.0,4018.0,1135.0,2915.0,4339.0,5456.0
