,,,support_thred,jd_diff_thred
costopall,All,0,0.2,
costopall,All,1,0.2,
costopall,All,2,0.3,
costopall,All,3,0.1,
costopall,All,4,0.3,
costopall,All,5,0.3,
costopall,All,6,0.2,
costopall,All,7,0.1,
costopall,All,8,0.2,
costopall,All,9,0.1,
costopall,AndAll,0,,0.2
costopall,AndAll,1,,0.1
costopall,AndAll,2,,0.1
costopall,AndAll,3,,0.1
costopall,AndAll,4,,0.2
costopall,AndAll,5,,0.1
costopall,AndAll,6,,0.1
costopall,AndAll,7,,0.1
costopall,AndAll,8,,0.1
costopall,AndAll,9,,0.1
