,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,AndAllComplete,44.0,235.0,89.0,72.0,0.63,0.33,0.38,0.35,0.55
keymove,AndAllComplete,163.0,95.0,155.0,27.0,0.59,0.51,0.86,0.64,0.62
jump,AndAllComplete,78.0,292.0,70.0,0.0,0.84,0.53,1.0,0.69,0.9
movetomouse,AndAllComplete,36.0,332.0,60.0,12.0,0.84,0.38,0.75,0.5,0.8
costopall,AndAllComplete,18.0,418.0,0.0,4.0,0.99,1.0,0.82,0.9,0.91
