,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,All,82.0,252.0,72.0,34.0,0.76,0.53,0.71,0.61,0.74
cochangescore,AndAll,81.0,262.0,62.0,35.0,0.78,0.57,0.7,0.63,0.75
keymove,All,177.0,209.0,41.0,13.0,0.88,0.81,0.93,0.87,0.88
keymove,AndAll,,,,,,,,,
jump,All,,,,,,,,,
jump,AndAll,,,,,,,,,
movetomouse,All,,,,,,,,,
movetomouse,AndAll,,,,,,,,,
costopall,All,,,,,,,,,
costopall,AndAll,,,,,,,,,
