cochangescore,"{'f1': 0.684931506849315, 'recall': 0.684931506849315, 'precision': 0.684931506849315}"
keymove,"{'f1': 0.8691358024691358, 'recall': 0.8934010152284264, 'precision': 0.8461538461538461}"
jump,"{'f1': 0.5771812080536912, 'recall': 0.5308641975308642, 'precision': 0.6323529411764706}"
movetomouse,"{'f1': 0.41, 'recall': 0.46938775510204084, 'precision': 0.5897435897435898}"
costopall,"{'f1': 0.2608695652173913, 'recall': 0.24, 'precision': 0.2857142857142857}"
