,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x12a27d990>,0.6376811594202899,0.47457627118644075,0.6176470588235293,0.6,0.6865671641791046,0.7435897435897435,0.7894736842105263,0.7586206896551724,0.7671232876712328,0.7555555555555555,0.5333333333333333,0.6842105263157896,0.4571428571428571,0.5116279069767442,0.4878048780487806,0.3703703703703703,0.3076923076923077,0.4615384615384615,0.5925925925925926,0.608695652173913,0.2222222222222222,0,0.3333333333333333,0.0,0.2105263157894737
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x10ef31590>,0.6470588235294117,0.4827586206896552,0.6176470588235293,0.5416666666666667,0.6666666666666667,0.7594936708860759,0.7792207792207791,0.7674418604651162,0.7671232876712328,0.7555555555555555,0.5625,0.6842105263157896,0.5000000000000001,0.4761904761904762,0.4878048780487806,0.3703703703703703,0.29629629629629634,0.4615384615384615,0.5714285714285715,0.608695652173913,0.2222222222222222,0,0.3333333333333333,0.0,0.2105263157894737
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12aa322d0>,0.6984126984126984,0.5862068965517241,0.6865671641791046,0.4583333333333333,0.7096774193548386,0.7733333333333334,0.8051948051948052,0.7951807228915662,0.8,0.7727272727272727,0.5517241379310344,0.7222222222222223,0.5806451612903226,0.5,0.6060606060606061,0.4,0.25,0.4615384615384615,0.6896551724137931,0.608695652173913,0.2222222222222222,0,0.4000000000000001,0.0,0.19999999999999998
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x10ef31310>,0.7096774193548386,0.5925925925925927,0.7076923076923077,0.46511627906976744,0.7619047619047619,0.8395061728395061,0.794871794871795,0.8045977011494252,0.8656716417910448,0.8314606741573034,0.5925925925925926,0.6857142857142856,0.6428571428571429,0.5789473684210527,0.5806451612903226,0.4444444444444444,0.37499999999999994,0.5,0.7142857142857143,0.7368421052631577,0.2857142857142857,0,0.5714285714285715,0.5,0.16666666666666669
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12aaf0150>,0.7,0.5306122448979592,0.7000000000000001,0.5333333333333333,0.7575757575757577,0.8604651162790697,0.9156626506024097,0.8571428571428572,0.8656716417910448,0.8705882352941177,0.4545454545454545,0.5806451612903226,0.6923076923076924,0.5625000000000001,0.64,0.0,0.33333333333333337,0.5,0.5,0.4285714285714285,0.0,0,0.0,0.0,0.0
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x12a27d990>,0.6031746031746033,0.5806451612903226,0.5588235294117646,0.5306122448979592,0.7142857142857143,0.7654320987654322,0.794871794871795,0.7045454545454545,0.782608695652174,0.735632183908046,0.5,0.6842105263157896,0.5000000000000001,0.5714285714285715,0.46153846153846156,0.35714285714285715,0.20000000000000004,0.4,0.43478260869565216,0.48,0.13333333333333333,0,0.3076923076923077,0.0,0.33333333333333337
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x10ef31590>,0.606060606060606,0.5666666666666665,0.5538461538461538,0.5306122448979592,0.7352941176470589,0.7272727272727273,0.794871794871795,0.7272727272727273,0.7714285714285716,0.735632183908046,0.5,0.6842105263157896,0.5405405405405405,0.5714285714285715,0.5,0.35714285714285715,0.20000000000000004,0.4,0.4,0.5,0.15384615384615383,0,0.3333333333333333,0.0,0.2608695652173913
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12aa322d0>,0.6229508196721313,0.5517241379310345,0.6666666666666666,0.5384615384615384,0.7868852459016394,0.7027027027027027,0.8051948051948052,0.8,0.782608695652174,0.7640449438202247,0.5384615384615385,0.7777777777777778,0.588235294117647,0.5238095238095238,0.5555555555555556,0.36363636363636365,0.26666666666666666,0.42857142857142855,0.6363636363636365,0.5714285714285713,0.2,0,0.4444444444444445,0.28571428571428575,0.13333333333333333
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x10ef31310>,0.6875,0.509090909090909,0.6984126984126984,0.5384615384615384,0.7384615384615384,0.8354430379746836,0.8395061728395061,0.8314606741573034,0.8529411764705881,0.8409090909090909,0.4166666666666667,0.6470588235294118,0.6666666666666666,0.6153846153846153,0.5806451612903226,0.4444444444444444,0.30769230769230765,0.5,0.6363636363636365,0.7368421052631577,0.2857142857142857,0,0.33333333333333337,0.0,0.16666666666666669
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12aaf0150>,0.6779661016949153,0.5098039215686274,0.6666666666666667,0.5306122448979592,0.7575757575757577,0.8571428571428572,0.891566265060241,0.8571428571428572,0.8656716417910448,0.8705882352941177,0.3809523809523809,0.5806451612903226,0.7692307692307692,0.606060606060606,0.64,0.0,0.18181818181818182,0.5,0.4,0.4285714285714285,0.0,0,0.0,0.0,0.0
