,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x12e2402d0>,0.6557377049180327,0.6440677966101694,0.65625,0.34782608695652173,0.6875000000000001,0.7804878048780488,0.794871794871795,0.7764705882352941,0.8181818181818182,0.8192771084337349,0.6428571428571429,0.6486486486486486,0.4666666666666667,0.5625000000000001,0.5517241379310345,0.35714285714285715,0.3076923076923077,0.32,0.43478260869565216,0.4,0.13333333333333333,0,0.42857142857142855,0.5,0.2222222222222222
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1126ff390>,0.6229508196721313,0.6440677966101694,0.676923076923077,0.34782608695652173,0.6875000000000001,0.7901234567901235,0.8051948051948052,0.7951807228915662,0.8181818181818182,0.8192771084337349,0.6428571428571429,0.6486486486486486,0.5,0.5625000000000001,0.5517241379310345,0.35714285714285715,0.3076923076923077,0.32,0.3636363636363636,0.41666666666666663,0.13333333333333333,0,0.4615384615384615,0.5,0.2222222222222222
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12e1fdfd0>,0.6774193548387096,0.7333333333333333,0.6451612903225807,0.47826086956521735,0.676923076923077,0.7749999999999999,0.8354430379746834,0.7857142857142858,0.835820895522388,0.8192771084337349,0.689655172413793,0.6153846153846153,0.3703703703703704,0.6285714285714287,0.5,0.33333333333333337,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.45454545454545453,0.2222222222222222,0,0.42857142857142855,0.5,0.26666666666666666
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1126ff110>,0.7096774193548386,0.7213114754098361,0.7301587301587302,0.4347826086956522,0.721311475409836,0.7749999999999999,0.8354430379746834,0.7560975609756098,0.8656716417910448,0.8192771084337349,0.6153846153846153,0.6857142857142856,0.5185185185185186,0.5625000000000001,0.5599999999999999,0.2105263157894737,0.14285714285714288,0.4,0.4444444444444444,0.5,0.0,0,0.5714285714285715,0.5,0.0
0.1,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12e2b1d50>,0.7878787878787877,0.679245283018868,0.6206896551724138,0.5217391304347826,0.7540983606557378,0.8148148148148149,0.8354430379746834,0.7160493827160495,0.8787878787878788,0.8372093023255814,0.5217391304347827,0.7428571428571429,0.6666666666666666,0.6451612903225806,0.6666666666666666,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0,0.0,0.0,0.0
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x12e2402d0>,0.6557377049180327,0.6071428571428571,0.6229508196721312,0.47058823529411764,0.6363636363636364,0.7000000000000001,0.7532467532467532,0.7586206896551724,0.7272727272727272,0.6896551724137931,0.5517241379310344,0.6486486486486486,0.4827586206896552,0.5161290322580646,0.6206896551724139,0.33333333333333337,0.29629629629629634,0.32,0.2608695652173913,0.4347826086956522,0.3636363636363636,0,0.16666666666666666,0.4444444444444444,0.3157894736842105
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1126ff390>,0.6333333333333333,0.6785714285714286,0.6666666666666666,0.47058823529411764,0.6562499999999999,0.7000000000000001,0.7532467532467532,0.7586206896551724,0.746268656716418,0.6896551724137931,0.5517241379310344,0.6486486486486486,0.4827586206896552,0.5161290322580646,0.6206896551724139,0.2727272727272727,0.37037037037037035,0.3478260869565218,0.2727272727272727,0.4,0.3636363636363636,0,0.3076923076923077,0.5,0.3157894736842105
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x12e1fdfd0>,0.7076923076923077,0.7586206896551724,0.6349206349206349,0.5777777777777778,0.6984126984126985,0.7435897435897435,0.846153846153846,0.7560975609756098,0.8285714285714285,0.8045977011494253,0.5714285714285715,0.6486486486486486,0.39999999999999997,0.5454545454545454,0.5714285714285715,0.19999999999999998,0.3157894736842105,0.37499999999999994,0.4761904761904762,0.45454545454545453,0.0,0,0.33333333333333337,0.5714285714285715,0.25000000000000006
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1126ff110>,0.7692307692307692,0.7142857142857143,0.6557377049180327,0.4680851063829788,0.75,0.7654320987654322,0.8311688311688312,0.761904761904762,0.8529411764705881,0.8181818181818181,0.4615384615384615,0.6666666666666665,0.5384615384615384,0.5161290322580646,0.5925925925925926,0.28571428571428564,0.26666666666666666,0.5,0.14285714285714285,0.4285714285714285,0.0,0,0.0,0.0,0.15384615384615385
0.2,<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12e2b1d50>,0.78125,0.6538461538461539,0.689655172413793,0.4999999999999999,0.7540983606557378,0.7692307692307694,0.8250000000000001,0.7407407407407408,0.8615384615384616,0.8235294117647057,0.5217391304347827,0.7058823529411764,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
