,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x114253790>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x127d38550>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x114253450>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x114253450>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x114253450>, 100)"
val_f1,0.64,0.7999999999999999,0.7142857142857143,0.7428571428571428,0.64
