,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381
1,1,1,1,2,3,4,5,5,7,9,13,17,19,21,22,25,25,25,25,26,29,29,30,32,35,37,37,38,38,38,40,40,43,44,46,46,47,47
