,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271
9,0,1,1,4,6,8,11,16,18,21,22,24,26,26,26,28,31,35,38,39,39,40,41,42,46,47,47
