name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.19: [script, goToLayer, {literal:back}, *]",87,0.1941747572815534,0.22556390977443608,-1.0,-1.0,-1.0
"0.12: [script, setEffect, {literal:brightness}, *]",88,0.11650485436893204,0.14285714285714285,-1.0,-1.0,-1.0
"0.18: [script, changeEffect, {literal:color}, *]",89,0.18446601941747573,0.12406015037593984,-1.0,-1.0,-1.0
"0.12: [script, setEffect, {literal:color}, *]",90,0.11650485436893204,0,-1.0,-1.0,-1.0
"0.26: [doIf, reportKeyPressed, {literal:down arrow}, *]",91,0.2621359223300971,0.10526315789473684,-1.0,-1.0,-1.0
"0.17: [doIf, reportTouchingObject, {literal:edge}, *]",92,0.17475728155339806,0,-1.0,-1.0,-1.0
"0.16: [doUntil, reportTouchingObject, {literal:edge}, *]",93,0.1553398058252427,0,-1.0,-1.0,-1.0
"0.14: [reportOr, reportTouchingObject, {literal:edge}, *]",94,0.13592233009708737,0,-1.0,-1.0,-1.0
"0.45: [script, goToLayer, {literal:front}, *]",95,0.44660194174757284,0.41353383458646614,-1.0,-1.0,-1.0
"0.29: [script, changeEffect, {literal:ghost}, *]",96,0.2912621359223301,0.29699248120300753,-1.0,-1.0,-1.0
"0.35: [script, setEffect, {literal:ghost}, *]",97,0.34951456310679613,0.31203007518796994,-1.0,-1.0,-1.0
"0.44: [doIf, reportKeyPressed, {literal:left arrow}, *]",98,0.4368932038834951,0.21428571428571427,-1.0,-1.0,-1.0
"0.20: [reportOr, reportKeyPressed, {literal:left arrow}, *]",99,0.20388349514563106,0.13533834586466165,-1.0,-1.0,-1.0
"0.18: [doIfElse, reportTouchingObject, {literal:mouse-pointer}, *]",100,0.18446601941747573,0.10526315789473684,-1.0,-1.0,-1.0
"0.11: [script, doFaceTowards, {literal:mouse-pointer}, *]",101,0.10679611650485436,0,-1.0,-1.0,-1.0
"0.15: [script, doGotoObject, {literal:mouse-pointer}, *]",102,0.14563106796116504,0,-1.0,-1.0,-1.0
"0.12: [reportAnd, reportTouchingObject, {literal:mouse-pointer}, *]",103,0.11650485436893204,0,-1.0,-1.0,-1.0
"0.46: [script, createClone, {literal:myself}, *]",104,0.4563106796116505,0.3383458646616541,-1.0,-1.0,-1.0
"0.29: [script, doStopThis, {literal:other scripts in sprite}, *]",105,0.2912621359223301,0.22556390977443608,-1.0,-1.0,-1.0
"0.32: [script, receiveInteraction, {literal:pressed}, *]",106,0.32038834951456313,0.37593984962406013,-1.0,-1.0,-1.0
"0.14: [script, doGotoObject, {literal:random position}, *]",107,0.13592233009708737,0,-1.0,-1.0,-1.0
"0.20: [reportOr, reportKeyPressed, {literal:right arrow}, *]",108,0.20388349514563106,0.13157894736842105,-1.0,-1.0,-1.0
"0.44: [doIf, reportKeyPressed, {literal:right arrow}, *]",109,0.4368932038834951,0.21052631578947367,-1.0,-1.0,-1.0
"0.24: [script, receiveKey, {literal:space}, *]",110,0.24271844660194175,0.19924812030075187,-1.0,-1.0,-1.0
"0.21: [doIf, reportKeyPressed, {literal:space}, *]",111,0.21359223300970873,0,-1.0,-1.0,-1.0
"0.20: [script, doStopThis, {literal:this script}, *]",112,0.20388349514563106,0.22180451127819548,-1.0,-1.0,-1.0
"0.29: [doIf, reportKeyPressed, {literal:up arrow}, *]",113,0.2912621359223301,0.15789473684210525,-1.0,-1.0,-1.0
"0.15: [reportOr, reportKeyPressed, {literal:up arrow}, *]",114,0.14563106796116504,0.12406015037593984,-1.0,-1.0,-1.0
"0.14: [doWaitUntil, reportLessThan, {literal:userDef}, *]",115,0.13592233009708737,0,-1.0,-1.0,-1.0
"0.16: [doWaitUntil, reportEquals, {literal:userDef}, *]",116,0.1553398058252427,0.13909774436090225,-1.0,-1.0,-1.0
"0.11: [script, doAddToList, {literal:userDef}, *]",117,0.10679611650485436,0.10150375939849623,-1.0,-1.0,-1.0
"0.15: [script, turnLeft, {literal:userDef}, *]",118,0.14563106796116504,0.13533834586466165,-1.0,-1.0,-1.0
"0.53: [script, doPlaySoundUntilDone, {literal:userDef}, *]",119,0.5339805825242718,0.5864661654135338,-1.0,-1.0,-1.0
"0.18: [script, setXPosition, {literal:userDef}, *]",120,0.18446601941747573,0.12406015037593984,-1.0,-1.0,-1.0
"0.27: [gotoXY, reportRandom, {literal:userDef}, *]",121,0.27184466019417475,0.18421052631578946,-1.0,-1.0,-1.0
"0.60: [doIf, reportEquals, {literal:userDef}, *]",122,0.6019417475728155,0.40225563909774437,-1.0,-1.0,-1.0
