cochangescore,"{'f1': 0.6666666666666666, 'recall': 0.6575342465753424, 'precision': 0.676056338028169}"
keymove,"{'f1': 0.8214285714285713, 'recall': 0.817258883248731, 'precision': 0.8256410256410256}"
jump,"{'f1': 0.6751592356687897, 'recall': 0.654320987654321, 'precision': 0.6973684210526315}"
movetomouse,"{'f1': 0.5591397849462366, 'recall': 0.5306122448979592, 'precision': 0.5909090909090909}"
costopall,"{'f1': 0.27906976744186046, 'recall': 0.24, 'precision': 0.3333333333333333}"
