,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251
6,3,7,16,26,34,43,52,59,67,76,85,91,98,105,114,120,128,137,144,150,159,163,166,171,171
