,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261
9,3,11,18,27,37,45,55,63,72,79,87,95,101,107,114,120,125,132,141,145,151,160,166,170,171,171
