,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261
9,2,4,9,15,22,30,35,38,43,49,53,58,59,63,71,74,76,79,82,84,89,93,95,98,103,103
