,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
best_grid_set,"(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)","(-1, 0.2)"
val_f1,0.37209302325581395,0.5,0.48000000000000004,0.4878048780487805,0.6181818181818182,0.7792207792207793,0.7837837837837838,0.7532467532467534,0.835820895522388,0.8045977011494254,0.5185185185185186,0.7368421052631577,0.5625000000000001,0.5853658536585366,0.6451612903225806,0.380952380952381,0.2105263157894737,0.5,0.6428571428571429,0.5714285714285713,0.28571428571428575,0,0.25,0,0.26666666666666666
