,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x127d38550>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x114253450>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x127d6f7d0>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x127d38550>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x114253590>, 100)"
val_f1,0.5833333333333334,0.7567567567567568,0.6923076923076924,0.7027027027027027,0.6086956521739131
