name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.85: [script, {show}, *]",57,0.8529411764705882,0.7236180904522613,-1.0,-1.0,-1.0
"0.11: [reportMonadic, {var:userDef}, *]",58,0.10588235294117647,0,-1.0,-1.0,-1.0
"0.59: [reportEquals, {var:userDef}, *]",59,0.5882352941176471,0.36683417085427134,-1.0,-1.0,-1.0
"0.18: [reportDifference, {var:userDef}, *]",60,0.18235294117647058,0.135678391959799,-1.0,-1.0,-1.0
"0.11: [reportLetter, {var:userDef}, *]",61,0.10588235294117647,0.11055276381909548,-1.0,-1.0,-1.0
"0.59: [reportLessThan, {var:userDef}, *]",62,0.5941176470588235,0.34673366834170855,-1.0,-1.0,-1.0
"0.21: [reportSum, {var:userDef}, *]",63,0.20588235294117646,0.11557788944723618,-1.0,-1.0,-1.0
"0.19: [reportQuotient, {var:userDef}, *]",64,0.18823529411764706,0.135678391959799,-1.0,-1.0,-1.0
"0.42: [reportProduct, {var:userDef}, *]",65,0.4235294117647059,0.19095477386934673,-1.0,-1.0,-1.0
"0.32: [reportLessThan, {xPosition}, *]",66,0.3235294117647059,0,-1.0,-1.0,-1.0
"0.32: [reportLessThan, {yPosition}, *]",67,0.3176470588235294,0.12562814070351758,-1.0,-1.0,-1.0
"0.15: [sprite:userDef, script, {clearEffects}, *]",68,0.15294117647058825,0.18592964824120603,-1.0,-1.0,-1.0
"0.14: [sprite:userDef, script, {doStopAllSounds}, *]",69,0.13529411764705881,0.1306532663316583,-1.0,-1.0,-1.0
"0.13: [doForever, script, {doWearNextCostume}, *]",70,0.12941176470588237,0.12060301507537688,-1.0,-1.0,-1.0
"0.20: [doRepeat, script, {doWearNextCostume}, *]",71,0.2,0.22110552763819097,-1.0,-1.0,-1.0
"0.12: [reifyScript, script, {doWearNextCostume}, *]",72,0.11764705882352941,0,-1.0,-1.0,-1.0
"0.18: [sprite:userDef, script, {doWearNextCostume}, *]",73,0.18235294117647058,0.18592964824120603,-1.0,-1.0,-1.0
"0.44: [sprite:userDef, script, {evaluateCustomBlock:userDef}, *]",74,0.43529411764705883,0.37185929648241206,-1.0,-1.0,-1.0
"0.14: [doForever, script, {evaluateCustomBlock:userDef}, *]",75,0.13529411764705881,0,-1.0,-1.0,-1.0
"0.10: [doIfElse, script, {evaluateCustomBlock:userDef}, *]",76,0.1,0.10552763819095477,-1.0,-1.0,-1.0
"0.14: [stage:Stage, script, {evaluateCustomBlock:userDef}, *]",77,0.1411764705882353,0,-1.0,-1.0,-1.0
"0.16: [doIf, script, {evaluateCustomBlock:userDef}, *]",78,0.1588235294117647,0,-1.0,-1.0,-1.0
"0.11: [doIf, reportEquals, {getCostumeIdx}, *]",79,0.11176470588235295,0.10552763819095477,-1.0,-1.0,-1.0
"0.82: [sprite:userDef, script, {hide}, *]",80,0.8235294117647058,0.7035175879396985,-1.0,-1.0,-1.0
"0.49: [doIf, script, {hide}, *]",81,0.48823529411764705,0.27638190954773867,-1.0,-1.0,-1.0
"0.19: [doForever, script, {hide}, *]",82,0.18823529411764706,0,-1.0,-1.0,-1.0
"0.26: [doIfElse, script, {hide}, *]",83,0.25882352941176473,0.1457286432160804,-1.0,-1.0,-1.0
"0.46: [script, doTellTo, {list}, *]",84,0.4588235294117647,0.35678391959798994,-1.0,-1.0,-1.0
"0.46: [doTellTo, reifyScript, {list}, *]",85,0.4588235294117647,0.35678391959798994,-1.0,-1.0,-1.0
"0.46: [script, doTellTo, {literal:Stage}, *]",86,0.4588235294117647,0.35678391959798994,-1.0,-1.0,-1.0
"0.10: [reportEquals, reportAttributeOf, {literal:Stage}, *]",87,0.1,0,-1.0,-1.0,-1.0
"0.11: [script, doDeleteFromList, {literal:all}, *]",88,0.11176470588235295,0.11557788944723618,-1.0,-1.0,-1.0
"0.36: [script, doStopThis, {literal:all}, *]",89,0.3588235294117647,0.24623115577889448,-1.0,-1.0,-1.0
"0.24: [script, goToLayer, {literal:back}, *]",90,0.23529411764705882,0.20100502512562815,-1.0,-1.0,-1.0
"0.18: [script, setEffect, {literal:brightness}, *]",91,0.17647058823529413,0.10050251256281408,-1.0,-1.0,-1.0
"0.14: [script, changeEffect, {literal:color}, *]",92,0.13529411764705881,0.1457286432160804,-1.0,-1.0,-1.0
"0.11: [script, setEffect, {literal:color}, *]",93,0.11176470588235295,0,-1.0,-1.0,-1.0
"0.11: [reportOr, reportKeyPressed, {literal:down arrow}, *]",94,0.10588235294117647,0,-1.0,-1.0,-1.0
"0.12: [script, receiveKey, {literal:down arrow}, *]",95,0.12352941176470589,0,-1.0,-1.0,-1.0
"0.27: [doIf, reportKeyPressed, {literal:down arrow}, *]",96,0.27058823529411763,0,-1.0,-1.0,-1.0
"0.12: [doUntil, reportTouchingObject, {literal:edge}, *]",97,0.12352941176470589,0,-1.0,-1.0,-1.0
"0.15: [doIf, reportTouchingObject, {literal:edge}, *]",98,0.14705882352941177,0,-1.0,-1.0,-1.0
"0.46: [script, goToLayer, {literal:front}, *]",99,0.4588235294117647,0.39195979899497485,-1.0,-1.0,-1.0
"0.36: [script, changeEffect, {literal:ghost}, *]",100,0.3588235294117647,0.24120603015075376,-1.0,-1.0,-1.0
"0.41: [script, setEffect, {literal:ghost}, *]",101,0.4117647058823529,0.24623115577889448,-1.0,-1.0,-1.0
"0.30: [reportOr, reportKeyPressed, {literal:left arrow}, *]",102,0.3,0,-1.0,-1.0,-1.0
"0.52: [doIf, reportKeyPressed, {literal:left arrow}, *]",103,0.5235294117647059,0,-1.0,-1.0,-1.0
"0.15: [script, receiveKey, {literal:left arrow}, *]",104,0.14705882352941177,0,-1.0,-1.0,-1.0
"0.16: [doIfElse, reportTouchingObject, {literal:mouse-pointer}, *]",105,0.1588235294117647,0.10050251256281408,-1.0,-1.0,-1.0
"0.11: [reportAnd, reportTouchingObject, {literal:mouse-pointer}, *]",106,0.10588235294117647,0,-1.0,-1.0,-1.0
"0.45: [script, createClone, {literal:myself}, *]",107,0.45294117647058824,0.3015075376884422,-1.0,-1.0,-1.0
"0.31: [script, doStopThis, {literal:other scripts in sprite}, *]",108,0.31176470588235294,0.18592964824120603,-1.0,-1.0,-1.0
