,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
best_grid_set,"(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1075b0310>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.4, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.4, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1075b0310>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.2, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124565410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.5, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1075b0310>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1250b1410>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x1075b03d0>)","(0.3, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1075b0790>)"
val_f1,0.7666666666666667,0.7076923076923076,0.7076923076923077,0.6181818181818182,0.7868852459016394,0.8705882352941177,0.9156626506024097,0.8666666666666666,0.8787878787878788,0.8705882352941177,0.6206896551724138,0.7777777777777778,0.7692307692307692,0.7058823529411765,0.75,0.4444444444444444,0.4444444444444445,0.5,0.7142857142857143,0.7368421052631577,0.3636363636363636,0,0.5714285714285715,0.5,0.32
