,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x111a9b410>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x111a9b550>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1254a7350>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124957b50>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x111a9b410>, 100)"
val_f1,0.6153846153846153,0.7692307692307693,0.6666666666666666,0.7222222222222222,0.6086956521739131
