,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,1,7,13,19,26,30,38,44,46,50,52,56,58,64,67,68,69,69,69,69,70,72,73,73,73,74,74,74,74,75,75,76,76,76,77,77,77,77,77,77,77
1,2,3,11,17,25,29,35,39,45,47,52,53,58,62,66,68,68,68,69,70,73,73,73,73,73,74,74,75,75,76,76,76,77,77,77,77,77,77,77,77,77
2,1,2,5,10,14,21,25,31,33,40,41,45,51,56,59,63,64,67,69,69,69,69,70,72,73,74,74,75,75,75,76,76,76,76,77,77,77,77,77,77,77
3,1,7,9,14,22,29,34,39,44,49,51,56,59,61,62,65,67,69,70,71,71,72,73,73,74,74,74,74,75,75,76,76,76,76,77,77,77,77,77,77,77
4,0,0,0,6,12,22,28,33,39,44,47,52,58,62,64,65,65,65,65,68,69,69,70,70,73,73,73,74,74,74,75,75,76,76,76,77,77,77,77,77,77
5,3,5,10,15,20,23,28,35,42,48,53,58,60,62,67,69,70,71,71,71,72,73,73,73,73,74,74,75,75,76,76,76,76,76,76,77,77,77,77,77,77
6,3,5,9,15,19,23,27,32,40,45,49,52,59,59,60,64,67,68,69,69,70,71,71,74,74,74,75,75,75,76,76,76,76,76,77,77,77,77,77,77,77
7,2,5,7,9,15,20,29,35,41,44,44,50,51,54,56,59,62,65,68,69,70,71,72,73,73,73,74,75,75,76,76,76,76,77,77,77,77,77,77,77,77
8,1,2,5,8,11,19,25,29,35,40,43,50,54,60,64,65,68,68,70,71,71,72,73,73,73,73,74,74,75,75,76,76,76,77,77,77,77,77,77,77,77
