,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251
9,2,4,6,14,19,23,26,28,29,29,30,32,33,36,36,36,39,39,40,42,42,42,42,42,42
