name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.57: [{evaluateCustomBlock:userDef}, *]",0,0.5681818181818182,0.48704663212435234,-1.0,-1.0,-1.0
"0.24: [{getCostumeIdx}, *]",1,0.24431818181818182,0.20725388601036268,-1.0,-1.0,-1.0
"0.50: [{literal:Stage}, *]",2,0.5,0.41968911917098445,-1.0,-1.0,-1.0
"0.45: [{literal:all}, *]",3,0.44886363636363635,0.32124352331606215,-1.0,-1.0,-1.0
"0.23: [{literal:back}, *]",4,0.22727272727272727,0.20725388601036268,-1.0,-1.0,-1.0
"0.18: [{literal:brightness}, *]",5,0.18181818181818182,0.16062176165803108,-1.0,-1.0,-1.0
"0.23: [{literal:color}, *]",6,0.22727272727272727,0.20725388601036268,-1.0,-1.0,-1.0
"0.55: [{literal:down arrow}, *]",7,0.5511363636363636,0.11398963730569948,-1.0,-1.0,-1.0
"0.45: [{literal:ghost}, *]",8,0.45454545454545453,0.3005181347150259,-1.0,-1.0,-1.0
"0.90: [{literal:left arrow}, *]",9,0.8977272727272727,0.14507772020725387,-1.0,-1.0,-1.0
"0.30: [{literal:mouse-pointer}, *]",10,0.30113636363636365,0.32124352331606215,-1.0,-1.0,-1.0
"0.90: [{literal:right arrow}, *]",11,0.8977272727272727,0.15544041450777202,-1.0,-1.0,-1.0
"0.52: [{literal:space}, *]",12,0.5170454545454546,0.32124352331606215,-1.0,-1.0,-1.0
"0.80: [{literal:up arrow}, *]",13,0.8011363636363636,0.12953367875647667,-1.0,-1.0,-1.0
"1.00: [{literal:userDef}, *]",14,1.0,0.9948186528497409,-1.0,-1.0,-1.0
"0.21: [{reportMouseDown}, *]",15,0.21022727272727273,0.16580310880829016,-1.0,-1.0,-1.0
"0.13: [{reportMouseX}, *]",16,0.13068181818181818,0.16062176165803108,-1.0,-1.0,-1.0
"0.11: [{reportMouseY}, *]",17,0.11363636363636363,0.11917098445595854,-1.0,-1.0,-1.0
"0.51: [{script}, *]",18,0.5056818181818182,0.5025906735751295,-1.0,-1.0,-1.0
"0.77: [{var:userDef}, *]",19,0.7670454545454546,0.5181347150259067,-1.0,-1.0,-1.0
"0.97: [{varDec:userDef}, *]",20,0.9715909090909091,0.8911917098445595,-1.0,-1.0,-1.0
"0.86: [{varMenu:userDef}, *]",21,0.8636363636363636,0.6010362694300518,-1.0,-1.0,-1.0
"0.41: [{xPosition}, *]",22,0.4090909090909091,0.21243523316062177,-1.0,-1.0,-1.0
"0.41: [{yPosition}, *]",23,0.4090909090909091,0.21243523316062177,-1.0,-1.0,-1.0
"0.16: [script, {bounceOffEdge}, *]",24,0.16477272727272727,0.16580310880829016,-1.0,-1.0,-1.0
"0.16: [script, {clearEffects}, *]",25,0.16477272727272727,0.17098445595854922,-1.0,-1.0,-1.0
"0.15: [script, {doResetTimer}, *]",26,0.1534090909090909,0,-1.0,-1.0,-1.0
"0.24: [script, {doStopAllSounds}, *]",27,0.23863636363636365,0.19170984455958548,-1.0,-1.0,-1.0
"0.51: [script, {doWearNextCostume}, *]",28,0.5056818181818182,0.42487046632124353,-1.0,-1.0,-1.0
