,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,351,361,371,381,391,401,411
0,5,9,15,20,28,35,42,49,55,61,64,64,68,71,76,81,82,88,92,93,95,100,102,104,106,107,108,111,112,114,114,114,115,115,115,115,115,115,115,115,115
1,4,6,11,18,25,29,33,41,46,51,55,59,66,69,74,77,82,88,89,97,97,99,101,105,108,110,111,112,112,114,115,115,115,115,115,115,115,115,115,115,115
2,4,4,9,11,18,25,34,39,42,49,57,64,68,70,74,77,81,83,87,92,94,97,100,102,104,105,105,107,107,112,115,115,115,115,115,115,115,115,115,115,115
3,2,7,13,22,28,32,40,48,54,56,64,68,73,74,76,80,85,89,92,95,99,100,103,103,104,105,105,106,108,112,115,115,115,115,115,115,115,115,115,115,115
4,2,6,11,17,23,31,37,44,46,49,56,61,68,73,78,82,82,85,89,95,98,99,100,100,102,102,106,107,109,111,113,114,115,115,115,115,115,115,115,115,115
5,1,5,14,18,27,35,39,46,50,53,57,63,69,73,79,82,85,89,95,96,97,99,100,100,104,104,105,105,107,111,111,111,111,112,112,115,115,115,115,115,115
6,6,10,11,19,27,33,37,44,51,53,60,64,65,67,74,82,86,87,89,91,92,97,101,105,106,106,108,109,109,109,109,113,113,115,115,115,115,115,115,115,115
7,3,5,5,9,14,18,27,34,38,45,53,60,67,74,80,83,85,86,89,89,91,94,96,101,104,105,106,107,109,111,111,112,115,115,115,115,115,115,115,115,115
8,4,6,10,19,24,27,33,39,42,48,52,56,62,66,73,78,81,86,90,93,93,96,100,103,105,106,109,111,113,113,114,115,116,116,116,116,116,116,116,116,116
9,4,6,12,15,24,32,36,44,47,55,60,64,66,70,76,82,85,88,89,92,95,97,101,103,105,108,108,109,110,113,115,115,115,115,115,115,115,115,115,115,115
