,cochangescore,keymove,jump,movetomouse,costopall
,100,100,100,100,100
,100,100,100,100,100
,100,100,100,100,100
f1,0.6762589928057554,0.8753056234718826,0.6086956521739131,0.40625,0.0
recall,0.6438356164383562,0.9086294416243654,0.5185185185185185,0.2653061224489796,0.0
precision,0.7121212121212122,0.8443396226415094,0.7368421052631579,0.8666666666666667,0.0
avg_feature_count,134.0,134.0,134.0,134.0,134.0
