,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261
9,2,6,15,20,26,30,36,43,49,56,62,68,72,76,81,83,85,89,93,93,94,97,102,103,104,104
