,jump0,jump1,jump2,jump3,jump4
best_grid_set,"(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x111a9b710>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124957b50>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x111a9b550>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1254a7350>, 100)","(-1, <classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x124957b50>, 100)"
val_f1,0.6923076923076923,0.7894736842105263,0.7586206896551724,0.7222222222222222,0.6923076923076924
