,,,support_thred,jd_diff_thred
costopall,All,0,0.3,
costopall,All,1,-1,
costopall,All,2,0.1,
costopall,All,3,-1,
costopall,All,4,0.2,
costopall,All,5,0.1,
costopall,All,6,-1,
costopall,All,7,-1,
costopall,All,8,0.1,
costopall,All,9,0.1,
costopall,AndAll,0,,0.1
costopall,AndAll,1,,
costopall,AndAll,2,,
costopall,AndAll,3,,
costopall,AndAll,4,,
costopall,AndAll,5,,
costopall,AndAll,6,,
costopall,AndAll,7,,
costopall,AndAll,8,,
costopall,AndAll,9,,
