,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,AllOneHot,170.0,221.0,29.0,20.0,0.89,0.85,0.89,0.87,0.89
keymove,Neighbor,167.0,210.0,40.0,23.0,0.86,0.81,0.88,0.84,0.86
keymove,All,168.0,217.0,33.0,22.0,0.88,0.84,0.88,0.86,0.88
keymove,DPM,179.0,211.0,39.0,11.0,0.89,0.82,0.94,0.88,0.89
keymove,AndAllFull,172.0,46.0,204.0,18.0,0.5,0.46,0.91,0.61,0.54
keymove,AndAll,179.0,199.0,51.0,11.0,0.86,0.78,0.94,0.85,0.87
jump,AllOneHot,56.0,303.0,59.0,22.0,0.82,0.49,0.72,0.58,0.78
jump,Neighbor,63.0,318.0,44.0,15.0,0.87,0.59,0.81,0.68,0.84
jump,All,67.0,340.0,22.0,11.0,0.92,0.75,0.86,0.8,0.9
jump,DPM,68.0,330.0,32.0,10.0,0.9,0.68,0.87,0.76,0.89
jump,AndAllFull,70.0,325.0,37.0,8.0,0.9,0.65,0.9,0.76,0.9
jump,AndAll,75.0,361.0,1.0,3.0,0.99,0.99,0.96,0.97,0.98
cochangescore,AllOneHot,9.0,314.0,10.0,107.0,0.73,0.47,0.08,0.13,0.52
cochangescore,Neighbor,82.0,251.0,73.0,34.0,0.76,0.53,0.71,0.61,0.74
cochangescore,All,71.0,258.0,66.0,45.0,0.75,0.52,0.61,0.56,0.7
cochangescore,DPM,59.0,248.0,76.0,57.0,0.7,0.44,0.51,0.47,0.64
cochangescore,AndAllFull,37.0,284.0,40.0,79.0,0.73,0.48,0.32,0.38,0.6
cochangescore,AndAll,99.0,246.0,78.0,17.0,0.78,0.56,0.85,0.68,0.81
movetomouse,AllOneHot,6.0,365.0,27.0,42.0,0.84,0.18,0.12,0.15,0.53
movetomouse,Neighbor,33.0,379.0,13.0,15.0,0.94,0.72,0.69,0.7,0.83
movetomouse,All,36.0,371.0,21.0,12.0,0.92,0.63,0.75,0.69,0.85
movetomouse,DPM,42.0,349.0,43.0,6.0,0.89,0.49,0.88,0.63,0.88
movetomouse,AndAllFull,39.0,354.0,38.0,9.0,0.89,0.51,0.81,0.62,0.86
movetomouse,AndAll,37.0,373.0,19.0,11.0,0.93,0.66,0.77,0.71,0.86
moveanimate,AllOneHot,12.0,353.0,34.0,41.0,0.83,0.26,0.23,0.24,0.57
moveanimate,Neighbor,27.0,340.0,47.0,26.0,0.83,0.36,0.51,0.43,0.69
moveanimate,All,44.0,352.0,35.0,9.0,0.9,0.56,0.83,0.67,0.87
moveanimate,DPM,47.0,317.0,70.0,6.0,0.83,0.4,0.89,0.55,0.85
moveanimate,AndAllFull,19.0,369.0,18.0,34.0,0.88,0.51,0.36,0.42,0.66
moveanimate,AndAll,40.0,353.0,34.0,13.0,0.89,0.54,0.75,0.63,0.83
costopall,AllOneHot,13.0,341.0,77.0,9.0,0.8,0.14,0.59,0.23,0.7
costopall,Neighbor,7.0,409.0,9.0,15.0,0.95,0.44,0.32,0.37,0.65
costopall,All,21.0,418.0,0.0,1.0,1.0,1.0,0.95,0.98,0.98
costopall,DPM,21.0,418.0,0.0,1.0,1.0,1.0,0.95,0.98,0.98
costopall,AndAllFull,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
costopall,AndAll,21.0,416.0,2.0,1.0,0.99,0.91,0.95,0.93,0.97
