,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
keymove,AllOneHot,168.0,223.0,27.0,22.0,0.89,0.86,0.88,0.87,0.89
keymove,Neighbor,167.0,217.0,33.0,23.0,0.87,0.84,0.88,0.86,0.87
jump,AllOneHot,56.0,319.0,43.0,22.0,0.85,0.57,0.72,0.63,0.8
jump,Neighbor,65.0,334.0,28.0,13.0,0.91,0.7,0.83,0.76,0.88
cochangescore,AllOneHot,22.0,305.0,19.0,94.0,0.74,0.54,0.19,0.28,0.57
cochangescore,Neighbor,79.0,262.0,62.0,37.0,0.78,0.56,0.68,0.61,0.74
movetomouse,AllOneHot,8.0,379.0,13.0,40.0,0.88,0.38,0.17,0.23,0.57
movetomouse,Neighbor,20.0,389.0,3.0,28.0,0.93,0.87,0.42,0.56,0.7
moveanimate,AllOneHot,11.0,360.0,27.0,42.0,0.84,0.29,0.21,0.24,0.57
moveanimate,Neighbor,22.0,364.0,23.0,31.0,0.88,0.49,0.42,0.45,0.68
costopall,AllOneHot,9.0,407.0,11.0,13.0,0.95,0.45,0.41,0.43,0.69
costopall,Neighbor,3.0,415.0,3.0,19.0,0.95,0.5,0.14,0.21,0.56
