,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,AndAllComplete-3-4GramCSEDM,122.0,190.0,95.0,33.0,0.71,0.56,0.79,0.66,0.73
movetomouse,AndAllComplete-3-4GramCSEDM,40.0,389.0,2.0,9.0,0.98,0.95,0.82,0.88,0.91
costopall,AndAllComplete-3-4GramCSEDM,20.0,406.0,0.0,14.0,0.97,1.0,0.59,0.74,0.79
