,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,All,112.0,229.0,56.0,43.0,0.78,0.67,0.72,0.69,0.76
cochangescore,AndAll,113.0,229.0,56.0,42.0,0.78,0.67,0.73,0.7,0.77
