,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,AndAllAndAllComplete-3-4Gram-Final,82.0,252.0,72.0,34.0,0.76,0.53,0.71,0.61,0.74
keymove,AndAllAndAllComplete-3-4Gram-Final,177.0,160.0,90.0,13.0,0.77,0.66,0.93,0.77,0.79
jump,AndAllAndAllComplete-3-4Gram-Final,76.0,353.0,9.0,2.0,0.98,0.89,0.97,0.93,0.97
movetomouse,AndAllAndAllComplete-3-4Gram-Final,41.0,377.0,15.0,7.0,0.95,0.73,0.85,0.79,0.91
costopall,AndAllAndAllComplete-3-4Gram-Final,21.0,418.0,0.0,1.0,1.0,1.0,0.95,0.98,0.98
