,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
costopall,All,6.0,392.0,14.0,28.0,0.9,0.3,0.18,0.22,0.57
costopall,AndAll,2.0,388.0,18.0,32.0,0.89,0.1,0.06,0.07,0.51
